Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000042584
2,2,0.000175358
3,3,0.002070099
4,4,0.00091213
5,5,0.003592315
6,6,0.006391701
7,6,0.003005387
8,6,0.117728636
