Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.35297295
2,2,0.000190512
3,3,0.000100953
4,4,0.000839504
5,5,0.123663915
6,6,0.442429514
7,7,0.131558949
8,8,0.121908296
