Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000045034
2,2,0.000083767
3,3,0.000293045
4,4,0.000426902
5,5,0.002939536
6,6,0.282600559
7,7,0.006042301
8,8,7.922452906
