Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000032513
2,2,0.000151065
3,3,0.000870545
4,4,0.000586486
5,5,0.013366349
6,6,2.019028764
7,7,0.641720424
8,8,3.042951194
