Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.00007804
2,2,0.000079868
3,3,0.001309137
4,4,0.00074851
5,5,0.012707838
6,6,0.009356655
7,5,0.002130141
8,6,0.186132905
