Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000045757
2,2,0.000077905
3,3,0.000845897
4,4,0.000521097
5,5,0.002472356
6,6,0.000938492
7,7,0.616187866
8,8,28.718662001
