Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000044356
2,2,0.000037106
3,3,0.001162561
4,4,0.000466567
5,5,0.006682499
6,6,0.028946529
7,7,0.005974969
8,8,9.278018148
