Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000010837
2,2,0.000101843
3,3,0.000304127
4,4,0.001568177
5,5,0.017241774
6,6,0.544533249
7,7,2.693193758
8,8,3.70079992
