Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000047371
2,2,0.000060663
3,3,0.001287208
4,1,0.000012127
5,5,0.025909773
6,6,0.180974643
7,7,0.035071201
8,9,25.837734582
