Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000018168
2,2,0.000227734
3,3,0.00023084
4,4,0.000492623
5,7,0.052813573
6,6,0.016190005
7,7,2.042607081
8,5,0.007945331
