Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000033528
2,2,0.000118989
3,3,0.0001749
4,4,0.006805738
5,5,0.021587404
6,6,0.029506457
7,7,0.662425936
8,8,2.365730016
