Scramble Length,Solution Moves,Solution Time (s)
18,19,0.000180487
19,21,0.009415554
20,21,0.001494642
1,1,0.000002141
2,2,0.000004408
3,3,0.000008731
4,4,0.000040614
5,5,0.000068134
6,6,0.000025807
7,11,0.001147976
8,4,0.000035824
9,18,0.000426625
10,18,0.000096267
11,11,0.000171831
12,18,0.000151331
13,19,0.000026038
14,21,0.001382101
15,19,0.001104209
16,20,0.000140688
17,21,0.001023393
18,20,0.000034582
19,20,0.002406
20,20,0.00019225
1,1,0.000001664
2,2,0.000004321
3,3,0.00001858
4,3,0.000023396
5,5,0.000016757
6,6,0.001498251
7,13,0.000230352
8,12,0.000015614
9,7,0.000058042
10,19,0.000030463
11,11,0.000292901
12,18,0.000015436
13,18,0.000104042
14,20,0.000063243
15,21,0.002224427
16,17,0.000025546
17,21,0.000933047
18,19,0.000427725
19,21,0.001797942
20,20,0.000141472
1,1,0.00000199
2,2,0.000004794
3,3,0.000021929
4,4,0.000042685
5,5,0.000027844
6,7,0.00355192
7,15,0.000142305
8,14,0.000087307
9,9,0.000037452
10,18,0.000069737
11,20,0.000085948
12,16,0.000091434
13,20,0.001138871
14,20,0.000453514
15,20,0.000056147
16,21,0.001689163
17,19,0.002210249
18,20,0.000739132
19,20,0.000384157
20,21,0.00089884
1,1,0.00000247
2,2,0.000005048
3,3,0.000038009
4,4,0.000047191
5,5,0.000160058
6,6,0.000051365
7,13,0.000803613
8,15,0.000110111
9,9,0.000025294
10,20,0.000048747
11,11,0.000046749
12,20,0.000142457
13,12,0.000886011
14,20,0.000818007
15,21,0.00468442
16,18,0.000044586
17,21,0.001409761
18,21,0.000715923
19,20,0.000150453
20,20,0.000316341
1,1,0.000001839
2,2,0.000003216
3,3,0.000020002
4,3,0.000005515
5,5,0.000024205
6,10,0.000058251
7,14,0.000189137
8,7,0.000006109
9,12,0.002266372
10,8,0.000021081
11,20,0.000325149
12,20,0.002064538
13,13,0.000425541
14,20,0.000424217
15,20,0.002945804
16,20,0.000217216
17,16,0.000054669
18,20,0.000115969
19,20,0.000054899
20,20,0.001047005
1,1,0.000003363
2,2,0.000002587
3,3,0.000020356
4,4,0.000010856
5,5,0.000086561
6,12,0.000405203
7,15,0.000076103
8,13,0.000072944
9,14,0.000823422
10,19,0.000245504
11,11,0.000322578
12,18,0.001708138
13,20,0.000162478
14,16,0.000056359
15,21,0.002039329
16,18,0.000072627
17,19,0.001187944
18,21,0.007899692
19,21,0.000511994
20,20,0.000559233
1,1,0.000002724
2,2,0.000002581
3,3,0.000068374
4,4,0.000023193
5,5,0.00148456
6,6,0.000613079
7,7,0.000009314
8,15,0.001159085
9,7,0.002590995
10,19,0.000317007
11,20,0.000345002
12,10,0.00012669
13,20,0.000039526
14,20,0.000698371
15,18,0.000074056
16,19,0.000690958
17,21,0.002078751
18,19,0.000126192
19,18,0.000026783
20,20,0.004456913
1,1,0.000004098
2,2,0.000002519
3,3,0.000040198
4,4,0.000014962
5,5,0.000214189
6,6,0.000048055
7,7,0.000118356
8,15,0.000013968
9,9,0.000062132
10,10,0.000007957
11,16,0.000151603
12,19,0.000086919
13,19,0.000027053
14,20,0.000131946
15,19,0.000044293
16,21,0.001506403
17,21,0.001986456
18,20,0.0021391
19,20,0.000130109
20,21,0.013670213
1,1,0.000003657
2,2,0.000002122
3,3,0.00001641
4,4,0.000021161
5,5,0.000524722
6,6,0.001573383
7,14,0.000237812
8,15,0.000312471
9,14,0.000187458
10,20,0.000352716
11,19,0.00022052
12,21,0.00135361
13,18,0.000057114
14,19,0.000300468
15,20,0.000164874
16,21,0.003615399
17,21,0.011349759
18,20,0.000544376
19,20,0.000851524
20,20,0.000345406
1,1,0.000003208
2,2,0.000007074
3,3,0.000022374
4,4,0.000055487
5,6,0.000068521
6,13,0.00017163
7,13,0.000144094
8,15,0.000437966
9,19,0.000076137
10,17,0.000247106
11,13,0.000048946
12,20,0.000239171
13,21,0.000706945
14,20,0.000109038
15,18,0.000054443
16,20,0.000106061
17,20,0.000584555
18,19,0.000053505
19,21,0.003842287
20,20,0.001095589
1,1,0.000001742
2,2,0.000003577
3,3,0.000007395
4,4,0.000037311
5,5,0.000138603
6,5,0.000293644
7,7,0.000082349
8,6,0.000778453
9,11,0.001176919
10,15,0.000031043
11,13,0.000652538
12,19,0.000062858
13,20,0.00010213
14,14,0.000787688
15,20,0.002734759
16,20,0.000061899
17,21,0.000560669
18,20,0.000452489
19,21,0.000982408
20,21,0.000824018
1,1,0.000001798
2,2,0.0000035
3,3,0.000039296
4,4,0.000083924
5,5,0.000210413
6,6,0.000296741
7,16,0.000375089
8,18,0.000940534
9,9,0.000006483
10,18,0.000284993
11,11,0.000070873
12,18,0.000064759
13,18,0.00200436
14,21,0.000633194
15,20,0.000494765
16,20,0.001842139
17,18,0.001532775
18,21,0.001510469
19,21,0.001174526
20,21,0.001343339
1,1,0.000002818
2,2,0.00000282
3,3,0.000039849
4,4,0.000090812
5,5,0.000102501
6,6,0.000694871
7,6,0.00165045
8,14,0.000042651
9,18,0.000163512
10,14,0.000032846
11,17,0.000111477
12,19,0.001787038
13,18,0.000232571
14,17,0.000397769
15,20,0.000788527
16,21,0.003723217
17,20,0.000150669
18,20,0.00061117
19,21,0.003179946
20,20,0.000411383
1,1,0.000002321
2,2,0.000004176
3,3,0.000006862
4,4,0.000008651
5,5,0.001106382
6,6,0.000120334
7,5,0.009896401
8,9,0.000156443
9,17,0.000228107
10,10,0.000051338
11,18,0.000060252
12,17,0.000067161
13,20,0.000164485
14,20,0.000064739
15,21,0.00064175
16,20,0.000097067
17,20,0.00028596
18,21,0.018407014
19,20,0.002215341
20,20,0.003071594
1,1,0.000001865
2,2,0.000006499
3,3,0.000028184
4,4,0.000036206
5,5,0.000132275
6,16,0.000060293
7,14,0.000565341
8,7,0.000075967
9,19,0.001741757
10,15,0.000038692
11,14,0.000009524
12,20,0.000066733
13,19,0.000017955
14,20,0.000171284
15,20,0.000532665
16,19,0.000230958
17,13,0.000012186
18,20,0.000087601
19,20,0.002544286
20,21,0.000801259
1,1,0.000001815
2,2,0.000004261
3,3,0.000042449
4,4,0.000024427
5,5,0.002140557
6,13,0.000173383
7,7,0.000177573
8,8,0.000022978
9,14,0.000440274
10,9,0.000125248
11,16,0.000052078
12,20,0.000459592
13,16,0.000359794
14,20,0.000120303
15,21,0.000871166
16,20,0.001696288
17,21,0.001537756
18,19,0.000757088
19,21,0.002063177
20,21,0.000703961
1,1,0.000001674
2,2,0.000002309
3,3,0.000011351
4,4,0.000079781
5,5,0.000211583
6,6,0.000272569
7,14,0.001087859
8,14,0.000759393
9,9,0.000062042
10,16,0.000134178
11,14,0.000061039
12,15,0.000047935
13,20,0.000769231
14,20,0.000113791
15,20,0.000470849
16,21,0.011038677
17,16,0.000169892
18,20,0.000049472
19,20,0.000541486
20,20,0.001255347
1,1,0.000002841
2,2,0.000005603
3,3,0.000014877
4,4,0.000317919
5,5,0.002961836
6,11,0.001368461
7,7,0.000503858
8,12,0.003405586
9,15,0.000034699
10,18,0.000053167
11,11,0.000772058
12,20,0.000101123
13,19,0.000896321
14,21,0.001544854
15,17,0.000025509
16,19,0.000015529
17,21,0.005186841
18,20,0.000235746
19,20,0.000215708
20,19,0.000070463
1,1,0.000001409
2,2,0.000005531
3,3,0.000047206
4,4,0.000117711
5,5,0.000980326
6,6,0.000322193
7,12,0.000931652
8,13,0.000054808
9,16,0.000131619
10,20,0.000204078
11,19,0.000508515
12,20,0.0001381
13,16,0.001025051
14,17,0.000146308
15,20,0.001867222
16,20,0.002649302
17,21,0.002127032
18,21,0.00865596
19,21,0.000779213
20,19,0.000151659
1,1,0.000001703
2,2,0.000002672
3,3,0.000006836
4,4,0.000097504
5,5,0.000049722
6,6,0.000017302
7,7,0.000154534
8,8,0.000526922
9,14,0.000042036
10,16,0.000094544
11,19,0.000114102
12,18,0.000376168
13,20,0.000394481
14,20,0.000304117
15,21,0.000850195
16,20,0.001295356
17,20,0.000076863
18,20,0.000431593
19,19,0.001173486
20,21,0.002036095
1,1,0.000003099
2,2,0.0000073
3,3,0.00000449
4,4,0.000017086
5,5,0.000226929
6,6,0.000249574
7,15,0.000011026
8,8,0.000013986
9,16,0.000207
