Scramble Length,Solution Moves,Solution Time (s)
18,19,0.000219116
19,21,0.001219814
20,19,0.000494064
21,21,0.013671559
22,21,0.011576517
23,21,0.000923984
24,20,0.001810082
25,20,0.000484715
26,20,0.006650926
27,21,0.000756701
28,18,0.000665253
29,21,0.004597276
30,21,0.002237773
1,1,0.00000155
2,2,0.000003072
3,3,0.000006351
4,4,0.000012578
5,5,0.00162775
6,15,0.036874113
7,6,0.000119649
8,5,0.000380979
9,14,0.001767912
10,13,0.000113244
11,11,0.000689618
12,20,0.000751124
13,19,0.001619122
14,16,0.000052371
15,20,0.001261497
16,19,0.000399718
17,21,0.007351627
18,21,0.001401344
19,21,0.000908572
20,19,0.000444739
21,20,0.000820253
22,20,0.000224646
23,21,0.001689192
24,20,0.000530546
25,19,0.003942277
26,21,0.001443745
27,19,0.000073314
28,21,0.001336242
29,21,0.002953786
30,21,0.001819384
1,1,0.000002679
2,2,0.000003388
3,3,0.000006598
4,4,0.000031446
5,5,0.000150641
6,6,0.001214811
7,7,0.003191206
8,18,0.005123174
9,16,0.020021449
10,10,0.000224424
11,9,0.000261848
12,16,0.00046159
13,16,0.009957553
14,21,0.002898369
15,19,0.000191669
16,20,0.001430693
17,20,0.001212423
18,21,0.000721553
19,20,0.00061007
20,21,0.00060605
21,20,0.000413467
22,20,0.000853173
23,21,0.014737911
24,21,0.001485813
25,19,0.000398786
26,20,0.000817246
27,20,0.001576947
28,21,0.001569195
29,20,0.00005099
30,20,0.000354655
1,1,0.000002326
2,2,0.000005691
3,3,0.000034346
4,4,0.000141775
5,5,0.000741057
6,6,0.000368612
7,16,0.000114515
8,15,0.000395862
9,16,0.001278224
10,14,0.000883697
11,19,0.004666328
12,20,0.001218354
13,18,0.005072216
14,20,0.000358651
15,20,0.000682024
16,20,0.004546448
17,18,0.000667822
18,21,0.000823407
19,20,0.000195022
20,19,0.001356439
21,20,0.000226558
22,20,0.000078861
23,19,0.001216227
24,21,0.001431683
25,20,0.003948154
26,21,0.001025218
27,19,0.000645805
28,20,0.000125614
29,21,0.003941136
30,21,0.000882887
1,1,0.00000237
2,2,0.000001391
3,3,0.000007056
4,4,0.00001046
5,5,0.000115974
6,6,0.001536749
7,14,0.000429339
8,6,0.000088057
9,15,0.001878909
10,10,0.000010796
11,11,0.000286889
12,19,0.000198307
13,20,0.000372
14,21,0.006698205
15,15,0.003667204
16,21,0.002943048
17,21,0.005603742
18,21,0.001634338
19,21,0.00055409
20,20,0.004420701
21,21,0.000800247
22,20,0.000968162
23,20,0.000872664
24,20,0.001157207
25,19,0.000898708
26,20,0.000755765
27,21,0.000802347
28,18,0.000423595
29,21,0.007853065
30,21,0.000508104
1,1,0.0000024
2,2,0.000006875
3,3,0.000011013
4,4,0.00003925
5,5,0.001574346
6,6,0.00059121
7,7,0.00109517
8,13,0.001925984
9,18,0.006472953
10,16,0.00047617
11,13,0.000040211
12,15,0.017895295
13,21,0.002175042
14,20,0.000706382
15,19,0.001570204
16,21,0.00096131
17,21,0.000698112
18,21,0.009240775
19,21,0.001175815
20,19,0.001271517
21,21,0.008673154
22,20,0.000363555
23,19,0.001105277
24,21,0.00104421
25,21,0.000609462
26,20,0.000494845
27,20,0.000837154
28,20,0.001001457
29,21,0.001060441
30,20,0.001006833
1,1,0.000002454
2,2,0.000006295
3,3,0.000025416
4,4,0.001142949
5,5,0.000258141
6,6,0.000249194
7,7,0.001510718
8,13,0.001408057
9,9,0.000163579
10,10,0.000192077
11,20,0.000087058
12,11,0.000346103
13,20,0.003230689
14,17,0.00143257
15,20,0.001613296
16,20,0.001167496
17,19,0.000657952
18,22,0.005878942
19,21,0.001915124
20,18,0.001199794
21,21,0.001342542
22,20,0.001700329
23,21,0.008460867
24,21,0.005504937
25,17,0.000187874
26,21,0.001685975
27,20,0.00108695
28,21,0.000913571
29,20,0.001940176
30,21,0.000590007
1,1,0.000002717
2,2,0.000002557
3,3,0.000009022
4,4,0.00002542
5,5,0.000040575
6,6,0.001627923
7,5,0.001259858
8,15,0.000198731
9,19,0.000095984
10,19,0.001750088
11,19,0.000893708
12,18,0.001426829
13,17,0.000036728
14,21,0.004121318
15,15,0.000294535
16,20,0.000264347
17,20,0.000302853
18,21,0.000894571
19,20,0.000603408
20,21,0.000978496
21,20,0.001006557
22,20,0.000454945
23,20,0.000189423
24,20,0.000585226
25,20,0.000921669
26,22,0.008206374
27,20,0.000740095
28,20,0.000479579
29,21,0.007406185
30,20,0.002919811
1,1,0.000002079
2,2,0.000003642
3,3,0.000005155
4,4,0.000152365
5,5,0.00002284
6,6,0.001195778
7,6,0.002192582
8,8,0.001728234
9,16,0.0028123
10,17,0.000195723
11,16,0.000403214
12,16,0.000495317
13,21,0.001614176
14,18,0.000590141
15,20,0.000433679
16,19,0.001357166
17,18,0.000154733
18,20,0.011200937
19,19,0.003551038
20,20,0.000924352
21,20,0.000149032
22,21,0.001422948
23,20,0.000356114
24,20,0.000814842
25,20,0.000450715
26,20,0.000595227
27,20,0.001548313
28,20,0.000256637
29,21,0.000402141
30,20,0.000494252
1,1,0.000001535
2,2,0.000003214
3,3,0.000022797
4,4,0.000019688
5,5,0.000030037
6,6,0.000726147
7,4,0.00000657
8,8,0.000137175
9,17,0.001809625
10,13,0.004473011
11,19,0.000019283
12,20,0.00373439
13,11,0.000703233
14,20,0.007575032
15,21,0.002160458
16,20,0.001037034
17,20,0.000774909
18,20,0.001119822
19,20,0.003239586
20,20,0.00061346
21,20,0.002315459
22,21,0.000888331
23,20,0.001259829
24,20,0.004383496
25,21,0.000472225
26,21,0.006153087
27,21,0.002338979
28,21,0.001293147
29,21,0.008698409
30,21,0.000503958
1,1,0.000001829
2,2,0.000002564
3,3,0.000013929
4,2,0.000003223
5,5,0.000045399
6,5,0.001562812
7,6,0.001820516
8,8,0.00023897
9,14,0.006142884
10,12,0.001244806
11,20,0.001306111
12,19,0.000364006
13,20,0.000473308
14,17,0.000842349
15,13,0.001971997
16,21,0.000990157
17,21,0.001530362
18,21,0.00275331
19,20,0.000091804
20,20,0.002931737
21,20,0.00128181
22,20,0.001392107
23,21,0.01250601
24,20,0.000288124
25,21,0.000683952
26,20,0.000596988
27,21,0.001550237
28,20,0.011438668
29,20,0.000156452
30,21,0.000411398
1,1,0.000001518
2,2,0.000001942
3,3,0.000036337
4,4,0.000022161
5,5,0.000206771
6,6,0.006401388
7,7,0.000410585
8,6,0.000092681
9,15,0.000734502
10,10,0.000243354
11,15,0.004150253
12,19,0.000991077
13,17,0.001853618
14,19,0.000160548
15,20,0.00025661
16,20,0.011594117
17,18,0.000482376
18,18,0.002308906
19,20,0.000768779
20,21,0.001193105
21,20,0.000119199
22,21,0.00096225
23,19,0.006796586
24,21,0.009728434
25,21,0.00145583
26,21,0.001313352
27,20,0.000720703
28,21,0.007068331
29,20,0.000651871
30,20,0.000683147
1,1,0.000001867
2,2,0.00000597
3,3,0.000018501
4,4,0.000008775
5,5,0.001203751
6,6,0.01316459
7,14,0.010787532
8,10,0.008364149
9,11,0.005548123
10,17,0.000272391
11,19,0.000046875
12,15,0.000590844
13,20,0.001217388
14,21,0.000358723
15,21,0.002137816
16,21,0.002010208
17,21,0.00112395
18,19,0.000026511
19,20,0.002414764
20,20,0.000596069
21,20,0.002112328
22,20,0.000132859
23,20,0.00082443
24,20,0.006146192
25,21,0.000765512
26,21,0.000778978
27,21,0.002504884
28,21,0.001172478
29,19,0.000620017
30,20,0.000433768
1,1,0.000001343
2,2,0.000002706
3,3,0.000005531
4,4,0.000004515
5,5,0.000794807
6,6,0.000145761
7,7,0.003798122
8,13,0.007453409
9,14,0.000497361
10,12,0.001111655
11,19,0.003137231
12,19,0.000758512
13,20,0.000233676
14,21,0.002881402
15,21,0.004570151
16,20,0.000338821
17,20,0.00106715
18,20,0.005980871
19,21,0.000795487
20,21,0.000620756
21,19,0.000053347
22,21,0.001616541
23,21,0.007826026
24,20,0.000347949
25,21,0.007538669
26,20,0.000753487
27,20,0.003445112
28,20,0.000458367
29,21,0.001662496
30,20,0.000252713
1,1,0.000001524
2,2,0.000004128
3,3,0.000002849
4,4,0.000007308
5,5,0.000057871
6,6,0.000221365
7,4,0.000146312
8,8,0.000194375
9,8,0.007516525
10,15,0.00006471
11,20,0.000495403
12,11,0.00010525
13,16,0.003483516
14,20,0.001175622
15,20,0.001664511
16,18,0.000235999
17,21,0.003293058
18,20,0.001445021
19,21,0.001006835
20,20,0.000673841
21,21,0.001773568
22,20,0.000845773
23,20,0.000419809
24,20,0.006104838
25,20,0.000625836
26,20,0.000965044
27,21,0.001136127
28,20,0.000137517
29,21,0.009151081
30,21,0.001529917
1,1,0.000003081
2,2,0.000002739
3,2,0.000002022
4,4,0.000101752
5,5,0.000067034
6,6,0.000824255
7,13,0.112518616
8,7,0.007862053
9,13,0.003017364
10,17,0.001422392
11,17,0.006767992
12,16,0.000552312
13,18,0.000790639
14,13,0.000175976
15,21,0.000987173
16,18,0.001159804
17,20,0.000315233
18,21,0.000383869
19,20,0.000171797
20,20,0.000234129
21,21,0.000975083
22,20,0.000171812
23,21,0.000514732
24,20,0.000925535
25,20,0.000698077
26,20,0.000423906
27,20,0.005790223
28,20,0.000434822
29,20,0.0002945
30,21,0.007086214
1,1,0.000002484
2,2,0.000001709
3,3,0.000005281
4,4,0.000033231
5,5,0.000025094
6,6,0.001420816
7,11,0.003071323
8,13,0.063614226
9,16,0.000278906
10,9,0.000147241
11,20,0.000330065
12,20,0.000363127
13,18,0.001114622
14,20,0.000119425
15,20,0.000961641
16,21,0.004433014
17,20,0.000780995
18,19,0.001176764
19,20,0.001304819
20,21,0.000839553
21,21,0.000699354
22,21,0.007456203
23,20,0.004970623
24,19,0.000868673
25,21,0.000794607
26,21,0.000591961
27,21,0.000978641
28,20,0.000414882
29,19,0.007821433
30,21,0.007258655
1,1,0.000002645
2,2,0.000002515
3,3,0.000035329
4,4,0.000052955
5,5,0.00005733
6,13,0.000648973
7,7,0.00976468
8,11,0.002239388
9,7,0.006557161
10,13,0.000343952
11,19,0.001210954
12,20,0.000359132
13,20,0.00027403
14,20,0.001675502
15,20,0.000238149
16,20,0.00069598
17,19,0.005772663
18,21,0.001543568
19,20,0.002054949
20,19,0.000571829
21,20,0.000672773
22,20,0.003059022
23,20,0.001377637
24,20,0.000731817
25,20,0.000294632
26,20,0.000265095
27,20,0.000462518
28,21,0.000962754
29,20,0.002477609
30,20,0.00350439
1,1,0.000002745
2,2,0.000004984
3,3,0.000021453
4,4,0.000014254
5,5,0.000028219
6,3,0.000009088
7,7,0.000588607
8,15,0.002292634
9,14,0.001802232
10,20,0.000117057
11,18,0.002912251
12,19,0.000992428
13,20,0.000514504
14,20,0.002132732
15,18,0.00084438
16,19,0.001316488
17,18,0.000736863
18,21,0.003505333
19,20,0.000181348
20,20,0.002970446
21,20,0.001258932
22,21,0.001222995
23,21,0.000574042
24,21,0.001705641
25,21,0.000557102
26,20,0.000848157
27,20,0.000588985
28,21,0.001377533
29,20,0.000962555
30,19,0.000294352
1,1,0.000001755
2,2,0.000004054
3,3,0.000018082
4,4,0.000464765
5,5,0.000452867
6,6,0.002150204
7,6,0.00197357
8,8,0.003894462
9,18,0.000624108
10,10,0.000026027
11,18,0.002037574
12,11,0.004590494
13,20,0.003168605
14,20,0.000617471
15,20,0.005862421
16,20,0.001631049
17,20,0.001715429
18,20,0.000921874
19,20,0.001508495
20,19,0.00170508
21,20,0.000400817
22,19,0.003168869
23,21,0.002878909
24,20,0.000807093
