Scramble Length,Solution Moves,Solution Time (s)
18,20,0.000441679
19,20,0.00064436
20,21,0.001026849
1,1,0.000002824
2,2,0.0000023
3,3,0.000002963
4,4,0.000003549
5,5,0.000003548
6,6,0.000005374
7,10,0.000011324
8,10,0.000051123
9,17,0.000070015
10,17,0.000163999
11,18,0.000092375
12,20,0.00030977
13,19,0.000559745
14,20,0.000677353
15,13,0.000021253
16,20,0.001031272
17,21,0.000184105
18,20,0.005684227
19,21,0.001393861
20,20,0.000571437
1,8,0.000079869
2,8,0.000048728
3,3,0.000002442
4,11,0.000058278
5,9,0.000038781
6,10,0.000004915
7,7,0.000006833
8,12,0.000006467
9,16,0.000008976
10,18,0.000070303
11,20,0.000613912
12,18,0.000417111
13,20,0.000028858
14,14,0.00003579
15,20,0.000162231
16,21,0.000628443
17,20,0.000592771
18,20,0.000798685
19,21,0.002366654
20,20,0.000468168
1,1,0.000002497
2,9,0.000076155
3,3,0.000002885
4,7,0.00000659
5,11,0.000005486
6,16,0.000053324
7,12,0.000013366
8,15,0.000018544
9,9,0.000006753
10,13,0.000007161
11,20,0.000124041
12,15,0.000134485
13,20,0.000172802
14,20,0.002965142
15,18,0.000053209
16,21,0.001088698
17,20,0.000126484
18,21,0.003453521
19,20,0.000850044
20,21,0.000829973
1,8,0.000077457
2,2,0.000002208
3,3,0.000002296
4,9,0.000032788
5,5,0.000004248
6,11,0.000073733
7,14,0.000007999
8,12,0.000004825
9,12,0.000009669
10,15,0.000016684
11,18,0.000027874
12,19,0.000013451
13,11,0.000081653
14,21,0.001944898
15,20,0.000152308
16,21,0.002211809
17,21,0.004628278
18,21,0.001564796
19,21,0.002018577
20,21,0.01626475
1,1,0.000014186
2,2,0.000004178
3,3,0.000007477
4,11,0.00026067
5,5,0.000005378
6,13,0.000064896
7,7,0.000005302
8,18,0.000015532
9,16,0.000012246
10,15,0.000056339
11,16,0.000051455
12,20,0.000196595
13,21,0.000393662
14,20,0.000061241
15,20,0.000110423
16,20,0.000494182
17,20,0.001232682
18,20,0.000075353
19,20,0.00004855
20,20,0.00011692
1,1,0.00000243
2,9,0.000052251
3,2,0.00000186
4,4,0.000002445
5,12,0.000056617
6,6,0.000004004
7,15,0.000046856
8,13,0.000014359
9,14,0.000024329
10,16,0.000013538
11,20,0.00003908
12,14,0.000010501
13,17,0.000071236
14,20,0.000135311
15,20,0.001441089
16,19,0.000223024
17,20,0.001414046
18,20,0.011316292
19,20,0.000031942
20,18,0.000037176
1,1,0.00000223
2,9,0.000089465
3,3,0.000003244
4,12,0.000006762
5,10,0.000039854
6,6,0.000005614
7,5,0.000005094
8,12,0.000011823
9,17,0.000016353
10,17,0.000052213
11,19,0.000126713
12,20,0.001099189
13,13,0.000079542
14,20,0.000180716
15,21,0.000967375
16,18,0.000025072
17,21,0.001220135
18,21,0.001086993
19,20,0.001198773
20,20,0.00001698
1,1,0.000001943
2,9,0.000056801
3,3,0.000003311
4,4,0.000003866
5,5,0.000005372
6,11,0.000027897
7,16,0.000012145
8,8,0.000007217
9,9,0.00008512
10,18,0.00002095
11,9,0.000036113
12,8,0.000011081
13,21,0.001318078
14,16,0.000103489
15,20,0.000183498
16,20,0.0001112
17,20,0.000976018
18,21,0.002059994
19,21,0.000656444
20,20,0.000142911
1,1,0.000004005
2,2,0.000003321
3,8,0.000055631
4,8,0.000012006
5,5,0.000005477
6,10,0.000017485
7,7,0.000005712
8,17,0.000012373
9,16,0.000061232
10,10,0.000009194
11,11,0.000008296
12,18,0.000021748
13,19,0.000120414
14,19,0.000041744
15,21,0.001090068
16,21,0.001692585
17,21,0.017747434
18,20,0.001405946
19,17,0.0008131
20,18,0.000197709
1,1,0.000005427
2,8,0.000065313
3,10,0.000104976
4,9,0.000017611
5,12,0.000028368
6,6,0.000004596
7,13,0.000160848
8,13,0.000034951
9,6,0.000007012
10,10,0.000111598
11,19,0.000042363
12,21,0.001792918
13,20,0.018227576
14,20,0.000083618
15,18,0.000535821
16,21,0.001032895
17,19,0.001856257
18,19,0.000190361
19,20,0.000681946
20,20,0.000118296
1,1,0.000002744
2,2,0.000002678
3,10,0.000069215
4,10,0.000043212
5,10,0.000013637
6,11,0.00000656
7,12,0.000037599
8,15,0.000056995
9,18,0.000035571
10,15,0.000025806
11,17,0.000106243
12,17,0.000016212
13,20,0.00045876
14,18,0.00004085
15,21,0.000694858
16,20,0.000309849
17,20,0.000481122
18,21,0.000616011
19,20,0.001014649
20,21,0.001128437
1,1,0.000002246
2,9,0.000048745
3,8,0.000023737
4,8,0.000004385
5,12,0.000006848
6,13,0.000053959
7,5,0.000003765
8,16,0.00008353
9,15,0.000011942
10,20,0.000171669
11,16,0.000038377
12,19,0.000710426
13,11,0.000055284
14,20,0.000541645
15,21,0.000823104
16,21,0.00144518
17,20,0.000786278
18,21,0.001181116
19,20,0.000526229
20,20,0.006463805
1,1,0.000003665
2,9,0.000088274
3,11,0.000009018
4,4,0.000005934
5,8,0.000009104
6,14,0.000018502
7,7,0.000007198
8,14,0.00001651
9,9,0.000019991
10,10,0.000093295
11,8,0.000016049
12,20,0.000324126
13,11,0.001626917
14,18,0.000247511
15,21,0.001147345
16,19,0.000240755
17,20,0.002203157
18,12,0.00000819
19,21,0.001811681
20,21,0.002106467
1,1,0.000003139
2,9,0.000082126
3,3,0.000002664
4,4,0.000003551
5,5,0.000004048
6,14,0.000012653
7,14,0.000063543
8,15,0.000026433
9,6,0.000003861
10,18,0.000014023
11,20,0.000271858
12,20,0.000030986
13,13,0.000079959
14,18,0.000059652
15,21,0.000881169
16,18,0.000339976
17,19,0.000114557
18,20,0.000754807
19,20,0.000054175
20,21,0.00120007
1,1,0.000002485
2,2,0.000002335
3,10,0.000066295
4,4,0.000003577
5,5,0.000003116
6,14,0.000041506
7,7,0.000005219
8,14,0.000052753
9,14,0.000024333
10,10,0.000006662
11,11,0.000043653
12,19,0.000079579
13,21,0.001340866
14,20,0.000115042
15,15,0.000069991
16,19,0.000310875
17,20,0.000226457
18,21,0.001093865
19,21,0.005273486
20,21,0.001340162
1,1,0.000003531
2,9,0.000082824
3,7,0.000010886
4,11,0.000007233
5,5,0.000004295
6,12,0.000052701
7,8,0.000006145
8,8,0.000007975
9,9,0.000012325
10,13,0.000009461
11,16,0.000017345
12,13,0.000008897
13,20,0.006648298
14,20,0.000442019
15,19,0.000025907
16,20,0.000251259
17,20,0.00028516
18,20,0.00391828
19,17,0.000035244
20,21,0.011628908
1,8,0.000108281
2,2,0.000002713
3,9,0.000066097
4,10,0.000049106
5,12,0.000068624
6,12,0.000014196
7,15,0.000012348
8,13,0.000014516
9,12,0.000012555
10,10,0.00003217
11,18,0.000014856
12,17,0.000264952
13,20,0.000109886
14,20,0.00218881
15,20,0.000352236
16,18,0.000155511
17,21,0.002210519
18,21,0.002113621
19,20,0.000589515
20,20,0.000559808
1,1,0.000002829
2,9,0.00005085
3,3,0.000003109
4,4,0.000003767
5,5,0.000007528
6,6,0.000005239
7,13,0.000009756
8,11,0.000027181
9,14,0.000052974
10,19,0.000046609
11,19,0.0000532
12,21,0.001593884
13,21,0.001290406
14,21,0.001346383
15,20,0.000197591
16,17,0.001433321
17,20,0.00137373
18,21,0.003413502
19,20,0.000579145
20,21,0.011344861
1,1,0.000004302
2,9,0.00007816
3,8,0.000023832
4,10,0.000044791
5,13,0.000021859
6,11,0.000024484
7,7,0.000006103
8,8,0.000005837
9,9,0.000007827
10,17,0.000033117
11,13,0.00000733
12,18,0.000339971
