Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019811809
2,2,0.00000276
3,3,0.000008152
4,4,0.00001893
5,5,0.000061171
6,4,0.000130474
7,15,0.001413195
8,14,0.000449444
9,9,0.000043243
10,10,0.000362693
11,20,0.00037516
12,18,0.000299727
13,20,0.000636524
14,19,0.00054648
15,20,0.003892103
16,21,0.001174117
17,21,0.00104341
18,18,0.000833878
19,20,0.001697371
20,20,0.00061869
21,21,0.002330503
22,20,0.000566961
23,19,0.007482617
24,21,0.000789475
25,21,0.001013716
26,21,0.001225062
27,21,0.000493428
28,20,0.000383121
29,20,0.000094998
30,20,0.000753351
1,1,0.000002054
2,2,0.000002146
3,2,0.000002042
4,4,0.000145468
5,5,0.000253485
6,6,0.001348431
7,16,0.002857172
8,8,0.02249617
9,8,0.001469045
10,17,0.000277978
11,20,0.000950732
12,16,0.00158513
13,20,0.001195992
14,20,0.001408249
15,18,0.000139943
16,21,0.013585403
17,21,0.001507529
18,21,0.002225113
19,21,0.001433897
20,20,0.001522337
21,20,0.000555932
22,21,0.000624232
23,21,0.00185118
24,21,0.006830583
25,20,0.003361254
26,19,0.000306421
27,21,0.000265802
28,21,0.000772788
29,21,0.000451872
30,21,0.002391116
1,1,0.000002072
2,2,0.000002807
3,3,0.000009187
4,4,0.000018728
5,5,0.000884903
6,6,0.005650087
7,6,0.000365513
8,8,0.002514949
9,12,0.00289012
10,15,0.000119731
11,16,0.000649042
12,20,0.000469186
13,12,0.001490276
14,15,0.004907184
15,20,0.000717287
16,19,0.000121841
17,21,0.001437047
18,20,0.000409453
19,20,0.000797301
20,20,0.006027767
21,21,0.015496546
22,21,0.009950411
23,21,0.000654364
24,20,0.002470602
25,20,0.003698174
26,21,0.000492417
27,21,0.003951587
28,21,0.000854978
29,21,0.00036724
30,20,0.000500203
1,1,0.000001269
2,2,0.000004958
3,3,0.000023171
4,4,0.000006417
5,5,0.000294242
6,6,0.000767931
7,5,0.000022588
8,8,0.000037246
9,9,0.000185768
10,17,0.001397034
11,20,0.000419733
12,19,0.000290312
13,13,0.000264194
14,20,0.000351789
15,20,0.001217248
16,20,0.000696686
17,21,0.001075829
18,20,0.000162813
19,21,0.001548612
20,21,0.002126545
21,20,0.001039218
22,20,0.00067405
