ida_depth,Time (s)
1,0.021494643
2,0.000571952
3,0.002768423
4,0.000697743
5,0.007240989
6,0.007691679
7,0.002272909
8,0.032193694
1,0.000215916
2,0.000777307
3,0.001006285
4,0.000264081
5,0.000198918
6,0.004429128
7,0.000909547
8,0.018967926
1,0.00001924
2,0.000463221
3,0.001332257
4,0.010034617
5,0.000586289
6,0.011662395
7,0.001963361
8,0.017311253
1,0.000086097
2,0.000363649
3,0.000640069
4,0.001330898
5,0.001226004
6,0.000551835
7,0.000660136
8,0.001828491
1,0.000631782
2,0.001583941
3,0.006568982
4,0.004781662
5,0.000637355
6,0.001866692
7,0.000527621
8,0.009238186
1,0.007711574
2,0.005576943
3,0.003951281
4,0.00021314
5,0.000315995
6,0.013519205
7,0.000119682
8,0.013914864
1,0.000886721
2,0.002099751
3,0.001175165
4,0.005430164
5,0.002810402
6,0.004737626
7,0.00146076
8,0.008620383
1,0.000525979
2,0.0052264
3,0.00015172
4,0.001239788
5,0.011592888
6,0.000729114
7,0.000299375
8,0.013246391
1,0.000928112
2,0.000526449
3,0.000383909
4,0.000031821
5,0.000938305
6,0.000727412
7,0.001802156
8,0.005108183
1,0.010939558
2,0.000179258
3,0.013476759
4,0.00046373
5,0.000935342
6,0.007012512
7,0.002405102
8,0.002260433
1,0.001436753
2,0.001270006
3,0.001614669
4,0.000161338
5,0.000520418
6,0.002302674
7,0.002622525
8,0.001976378
1,0.006611623
2,0.001431097
3,0.000749771
4,0.00167565
5,0.001261059
6,0.000079862
7,0.001482764
8,0.007667681
1,0.000278645
2,0.000064862
3,0.008342001
4,0.000657019
5,0.001245417
6,0.000430224
7,0.000290591
8,0.008105043
1,0.000035144
2,0.001055439
3,0.000055737
4,0.003278944
5,0.000735106
6,0.000588571
7,0.000704665
8,0.027674989
1,0.011115581
2,0.001051113
3,0.000885982
4,0.002153284
5,0.000968695
6,0.00002829
7,0.000798341
8,0.001685625
1,0.000053304
2,0.006463335
3,0.002130274
4,0.000477913
5,0.000537271
6,0.000430667
7,0.007878845
8,0.007066777
1,0.001519254
2,0.014973
3,0.000869707
4,0.001706758
5,0.016637648
6,0.005158839
7,0.001125213
8,0.006532259
1,0.001031502
2,0.010354881
3,0.001447229
4,0.011846769
5,0.007396746
6,0.000281608
7,0.002064779
8,0.001207683
1,0.000796793
2,0.00094708
3,0.000384746
4,0.000032576
5,0.002047776
6,0.000111737
7,0.002029663
8,0.01090263
1,0.001035824
2,0.001349115
3,0.001954475
4,0.000190604
5,0.001312229
6,0.003506867
7,0.00091813
8,0.019645898
1,0.000046986
2,0.000201849
3,0.002549684
4,0.000785137
5,0.001065315
6,0.00135368
7,0.000295789
8,0.004603812
1,0.001447853
2,0.001981031
3,0.000940361
4,0.001407386
5,0.000742573
6,0.000062224
7,0.002600343
8,0.00386448
1,0.000924269
2,0.000079361
3,0.00009385
4,0.000596938
5,0.001065958
6,0.003949339
7,0.000386589
8,0.002561381
1,0.010835119
2,0.000965009
3,0.014244537
4,0.000414692
5,0.000947202
6,0.000525905
7,0.001407466
8,0.001483536
1,0.000125954
2,0.000240813
3,0.001471805
4,0.002103941
5,0.012384598
6,0.009379235
7,0.000133756
8,0.006430584
1,0.000368419
2,0.00614653
3,0.000715977
4,0.000642134
5,0.000938506
6,0.000866468
7,0.000277339
8,0.001784344
1,0.001229907
2,0.003669435
3,0.000856943
4,0.007581074
5,0.000169215
6,0.00596535
7,0.010195795
8,0.000864419
1,0.001835846
2,0.000369764
3,0.003504332
4,0.000316349
5,0.000248015
6,0.001075999
7,0.000284112
8,0.005407515
1,0.000495919
2,0.000822504
3,0.007191175
4,0.000092532
5,0.01582209
6,0.00019108
7,0.00059883
8,0.028601677
1,0.000789855
2,0.000916343
3,0.001966467
4,0.001690996
5,0.008722069
6,0.000509128
7,0.002020743
8,0.002545672
1,0.008321426
2,0.000073362
3,0.002811937
4,0.000781287
5,0.000697452
6,0.001295748
7,0.000095111
8,0.003794236
1,0.001366563
2,0.001019551
3,0.001781149
4,0.001129814
5,0.001096421
6,0.000482642
7,0.00712807
8,0.014451833
1,0.001542272
2,0.001355531
3,0.000211434
4,0.001497303
5,0.000706
6,0.004097812
7,0.001447634
8,0.01015656
1,0.001183163
2,0.002719894
3,0.00174882
4,0.000298546
5,0.000162259
6,0.000507781
7,0.00230464
8,0.003188902
1,0.000650092
2,0.002184497
3,0.000653867
4,0.011966017
5,0.001415076
6,0.00125116
7,0.00030988
8,0.00637256
1,0.000054587
2,0.004055359
3,0.000835264
4,0.000553547
5,0.000350283
6,0.001497439
7,0.001571778
8,0.003694849
1,0.012346032
2,0.000428752
3,0.00172121
4,0.000429772
5,0.004049143
6,0.001145218
7,0.001469646
8,0.009046173
1,0.000812823
2,0.004875234
3,0.000611286
4,0.00079666
5,0.001867572
6,0.000349674
7,0.000809379
8,0.000586139
1,0.000771919
2,0.000178872
3,0.001051066
4,0.000981276
5,0.001321008
6,0.007716234
7,0.000714395
8,0.016900977
1,0.000400761
2,0.000540967
3,0.000210447
4,0.001097816
5,0.00063848
6,0.002040322
7,0.006999282
8,0.001674936
1,0.000428477
2,0.001006705
3,0.001900096
4,0.000828972
5,0.00061414
6,0.000336362
7,0.002139673
8,0.005064463
1,0.00080333
2,0.000657526
3,0.012227268
4,0.000707192
5,0.000742196
6,0.000982555
7,0.001499464
8,0.011733715
1,0.001130685
2,0.000140048
3,0.000711945
4,0.008872404
5,0.003463068
6,0.000053578
7,0.000706634
8,0.006776942
1,0.000024282
2,0.000742586
3,0.000151845
4,0.00021433
5,0.000591461
6,0.000244153
7,0.000378392
8,0.006628196
1,0.002960874
2,0.001218298
3,0.001829741
4,0.00017533
5,0.000356798
6,0.011366998
7,0.000410703
8,0.015182462
1,0.000056706
2,0.000370237
3,0.000046007
4,0.000400704
5,0.001401591
6,0.015754909
7,0.001588707
8,0.002561919
1,0.002251684
2,0.000575515
3,0.000510949
4,0.001363332
5,0.001037019
6,0.000487077
