Length,Time (ms)
20,0.001056189
21,0.001705265
20,0.001167737
21,0.000990841
20,0.000493865
20,0.000561894
21,0.010308077
21,0.001366575
20,0.000126242
21,0.002409053
20,0.00015969
20,0.000064391
20,0.000479182
21,0.003531981
20,0.00110147
20,0.002576169
20,0.000171303
20,0.000185727
21,0.000730806
20,0.000234116
20,0.001158475
21,0.01200246
20,0.000738607
21,0.017019617
21,0.000602386
21,0.000682314
21,0.001708976
19,0.000485312
20,0.005783075
19,0.00576944
21,0.005067757
21,0.00099285
20,0.000918845
21,0.000476064
21,0.001079088
20,0.00086574
21,0.00109376
20,0.000246582
21,0.001304441
22,0.004588841
19,0.00032555
20,0.00042835
20,0.008292388
21,0.012920312
19,0.000174588
20,0.000047113
21,0.000672746
21,0.000304036
21,0.000750028
20,0.000090685
21,0.00067569
20,0.000229165
20,0.013621312
21,0.010409991
20,0.002776691
21,0.014238898
20,0.000839543
20,0.000188462
20,0.000299051
20,0.000767168
19,0.000028369
20,0.000072176
21,0.00168177
20,0.000289545
21,0.001200339
20,0.000281399
20,0.000679631
20,0.000800236
21,0.000948739
21,0.020209799
21,0.002198922
21,0.00111457
21,0.001867452
21,0.008251443
18,0.000080201
21,0.001357409
21,0.001185149
21,0.000481026
20,0.001553014
21,0.000382545
19,0.000112391
19,0.001034609
20,0.003269263
18,0.001066841
20,0.00196587
20,0.001744429
21,0.002478685
21,0.005737531
17,0.000017445
20,0.0002017
18,0.000855151
21,0.006804192
21,0.001874037
20,0.000392205
21,0.000639353
20,0.002444545
19,0.00003233
20,0.000753478
21,0.006648527
20,0.012445934
21,0.001676632
19,0.000946466
21,0.001688502
21,0.001052129
20,0.003325758
21,0.003204052
21,0.003131872
20,0.003121896
20,0.005905326
20,0.000063726
21,0.001949136
20,0.01405015
21,0.002013793
21,0.00135104
21,0.000711977
21,0.001403502
21,0.000328086
20,0.000650575
20,0.000161421
21,0.007186973
20,0.000534964
22,0.005758915
20,0.000309155
21,0.003824851
20,0.004749724
21,0.000618987
21,0.000734631
20,0.000055918
21,0.001555148
21,0.001970598
19,0.00155393
21,0.001796654
21,0.000899759
21,0.002473435
21,0.00041187
20,0.000056309
20,0.000198315
20,0.000810074
21,0.001074922
21,0.000725537
21,0.00056528
21,0.000856646
20,0.000024565
20,0.000052938
21,0.001221781
19,0.000096634
21,0.002506102
20,0.001838023
20,0.000031229
19,0.002021151
19,0.003641146
21,0.001173445
21,0.00080111
19,0.002637307
19,0.000075689
20,0.000756352
21,0.001698007
21,0.009482783
21,0.000821708
21,0.001042928
20,0.000506997
21,0.001783257
21,0.000749435
20,0.000385412
21,0.000467845
20,0.000121945
20,0.001339644
21,0.000402372
21,0.00488502
21,0.008568052
20,0.000159349
22,0.010028131
20,0.005148479
20,0.004442663
20,0.011364091
21,0.012999407
21,0.001344639
20,0.00423429
21,0.001940923
19,0.000221527
20,0.001429083
21,0.000672734
21,0.000368293
20,0.000015724
21,0.00078558
20,0.00080951
20,0.0024466
19,0.000532908
20,0.000068999
20,0.002898056
20,0.001020172
19,0.00066617
20,0.000773576
21,0.001835407
20,0.000895636
20,0.00003956
20,0.000052379
20,0.000562396
20,0.00271547
20,0.000035528
20,0.000254252
20,0.000139141
20,0.000045735
20,0.000047669
20,0.001927468
20,0.000129771
20,0.00023496
21,0.009113243
20,0.001557569
20,0.000509523
20,0.000065992
21,0.001278013
20,0.011326269
20,0.000672033
21,0.000390469
20,0.001017776
20,0.000066455
21,0.00086964
21,0.001099311
20,0.000357803
20,0.000331549
21,0.001137286
20,0.000239942
21,0.000749341
20,0.001051916
20,0.000162691
18,0.000488428
20,0.001998679
21,0.003476475
22,0.006805332
21,0.001593813
20,0.001406326
21,0.0010552
20,0.00014044
21,0.008660551
21,0.002618468
21,0.002112601
20,0.00444325
21,0.003774821
21,0.002708885
20,0.002702493
21,0.00111453
21,0.00147718
21,0.007396554
20,0.000165555
20,0.000115445
19,0.002122829
21,0.001799161
19,0.000073382
21,0.000866992
20,0.00095717
21,0.001189367
20,0.006612971
20,0.001887123
21,0.000778621
21,0.0028324
20,0.000855086
20,0.001385003
21,0.000871033
21,0.000383116
19,0.000088895
21,0.00122152
21,0.010842711
21,0.007906358
19,0.000025748
20,0.000062082
20,0.001828239
20,0.000833045
21,0.001547485
21,0.000623444
20,0.000868167
20,0.002056528
18,0.000311856
21,0.019228364
20,0.000180457
21,0.001681692
21,0.000754295
20,0.000236828
20,0.000115719
20,0.000564608
21,0.000370068
21,0.000609017
20,0.006332073
20,0.001856284
20,0.00117101
20,0.000958697
18,0.00062033
19,0.000022721
21,0.001136901
19,0.000292461
21,0.001401293
21,0.000868488
21,0.015874532
20,0.008521368
20,0.001112992
19,0.000111311
21,0.011318636
21,0.001214544
21,0.001834424
22,0.008167326
20,0.006373619
21,0.001469322
19,0.003023683
21,0.017487846
19,0.000145553
20,0.001951223
21,0.001170947
20,0.000182101
20,0.000056866
21,0.0014336
21,0.000711469
20,0.00060293
20,0.000135772
20,0.000088314
20,0.000105299
20,0.000908906
19,0.000802013
20,0.000472108
18,0.000157103
21,0.00084225
21,0.000467225
20,0.000455869
20,0.000230372
20,0.000401633
20,0.000662828
21,0.001398817
18,0.000447312
20,0.000288771
20,0.00988433
20,0.000544122
20,0.000372812
20,0.000406922
21,0.001630016
20,0.002275344
20,0.000323341
21,0.008541916
20,0.007692517
19,0.000048209
20,0.000495773
21,0.00380862
20,0.007141132
21,0.002256397
21,0.012443085
21,0.000947423
21,0.000639849
22,0.004042794
20,0.000400377
21,0.013999361
20,0.00012104
20,0.000130061
20,0.000140948
20,0.000053656
21,0.001366643
20,0.000062677
18,0.000661571
20,0.000031815
20,0.000058185
21,0.001333175
21,0.008415167
20,0.002222828
20,0.009561065
21,0.00064071
19,0.005887058
20,0.000059201
21,0.000945906
20,0.002012386
20,0.00031775
20,0.000211114
20,0.000472539
21,0.00065678
21,0.001382262
20,0.008998469
21,0.001475175
20,0.000566187
21,0.000522827
19,0.000020372
21,0.000883261
21,0.001093495
20,0.000063486
19,0.000455458
19,0.000180713
21,0.00118628
20,0.001715501
21,0.008854391
21,0.001211841
20,0.00016366
21,0.000963714
21,0.001371138
21,0.000708501
19,0.000163333
21,0.001450319
21,0.001465776
21,0.001822925
20,0.00004939
21,0.001326092
21,0.001622621
20,0.000207923
20,0.000354034
20,0.000572049
21,0.006228495
21,0.00207441
20,0.0016264
21,0.002051184
21,0.00107397
20,0.000468898
21,0.001102305
21,0.014817771
21,0.000617366
20,0.00127607
21,0.000947305
20,0.003498479
21,0.000482067
21,0.001195211
21,0.015531549
20,0.000912683
21,0.001310281
20,0.000667493
20,0.000019105
21,0.000286878
20,0.001765543
20,0.000217169
20,0.000085905
20,0.00946614
21,0.000679745
20,0.000087225
20,0.001013684
21,0.007199506
21,0.001834578
21,0.009874182
21,0.000825859
20,0.010232928
21,0.010486324
20,0.000710057
18,0.000154553
20,0.000018235
21,0.001428874
20,0.000197625
20,0.000804815
21,0.001306069
20,0.00023227
21,0.001495667
21,0.001328686
21,0.003026221
19,0.000101023
20,0.000148338
20,0.003717667
20,0.006884812
20,0.00108857
20,0.000293407
21,0.016793571
20,0.000206318
20,0.000441892
21,0.001168816
21,0.001804162
21,0.012311969
20,0.000566561
20,0.005930284
21,0.000913029
20,0.000063951
20,0.000584901
21,0.000869124
20,0.000063054
20,0.00058915
20,0.000054509
21,0.002915524
21,0.002106597
21,0.011046926
20,0.000405937
21,0.00099336
20,0.000090147
20,0.002039543
21,0.002510799
20,0.000686267
20,0.001491043
21,0.000678731
19,0.000056924
21,0.010845903
21,0.001214216
21,0.00130816
21,0.001204684
19,0.003278597
20,0.000085003
20,0.000482686
20,0.000020145
20,0.00005787
20,0.000434925
21,0.00177049
21,0.001199501
21,0.000874711
20,0.00456794
21,0.010164534
20,0.00010811
20,0.000664395
21,0.001787415
21,0.000489273
21,0.009548311
20,0.002096791
20,0.00010743
20,0.000489933
21,0.001735243
21,0.00141423
21,0.000804042
20,0.000855319
20,0.000715389
20,0.000911404
21,0.0009625
20,0.000803118
20,0.001283742
21,0.000703202
21,0.013288952
20,0.000867388
21,0.001154607
20,0.000432584
21,0.000847214
21,0.002459013
21,0.022322885
21,0.002231216
19,0.000792554
20,0.014805566
20,0.000143184
21,0.001112385
20,0.000453338
20,0.000780313
21,0.002146801
21,0.001826853
20,0.002916587
20,0.00051752
20,0.002375033
20,0.000166371
20,0.00103902
21,0.011259741
21,0.005118536
21,0.000599711
20,0.000751929
20,0.000156275
21,0.001985022
21,0.000496396
21,0.000558044
21,0.00424808
21,0.001342501
21,0.00117804
21,0.001309365
20,0.001073683
20,0.000912119
21,0.001507409
20,0.000258415
20,0.019417889
20,0.000882201
20,0.003970984
20,0.000809814
20,0.001495668
20,0.000742827
18,0.000118928
19,0.001969011
20,0.000264944
20,0.008045919
20,0.00048017
20,0.000541478
21,0.001847561
21,0.000886807
20,0.000841954
20,0.000310212
21,0.013137904
20,0.000431474
20,0.005221897
22,0.006626982
20,0.007267857
21,0.000888883
20,0.000055139
20,0.001212136
20,0.000195558
21,0.014048006
20,0.000132411
20,0.000739162
20,0.000139838
21,0.002087762
21,0.001292815
21,0.001464275
20,0.000888508
20,0.000067465
20,0.000197313
21,0.000975707
21,0.000456572
20,0.000179013
21,0.000687507
20,0.001616566
21,0.007187473
21,0.006635402
21,0.014631949
20,0.000074183
20,0.001007979
21,0.000565255
20,0.005172993
20,0.000195011
21,0.001764731
20,0.000301267
21,0.002054288
21,0.001112362
19,0.002205215
21,0.00258533
19,0.001402898
21,0.000884749
21,0.016529193
20,0.000269391
20,0.009698602
21,0.002681386
21,0.001278508
21,0.00952453
20,0.002660943
21,0.001282274
19,0.000021267
21,0.003268974
20,0.000407742
21,0.003169628
20,0.000499347
20,0.000093055
19,0.002304626
21,0.000965083
20,0.000497894
19,0.000673952
20,0.003805665
20,0.000532935
20,0.001306759
20,0.000365073
20,0.003831414
21,0.000475285
21,0.007346167
20,0.000053583
20,0.000640725
17,0.000052455
19,0.000330736
21,0.001452437
20,0.002353349
19,0.000555149
20,0.000052473
21,0.000607616
20,0.00040992
20,0.000036432
20,0.000093479
20,0.000350514
20,0.000738621
21,0.001264647
21,0.001011901
20,0.002311423
21,0.000886612
20,0.000070244
20,0.0014051
20,0.001397563
20,0.000091988
20,0.000992411
21,0.010912761
20,0.010196246
21,0.001053288
20,0.006369697
20,0.000611413
21,0.001583778
21,0.000662774
21,0.001167777
20,0.000434609
21,0.002137241
21,0.00149657
21,0.000817211
21,0.002021069
21,0.001481211
20,0.00002371
21,0.002279276
21,0.000655129
21,0.001488775
21,0.000571942
19,0.000325233
21,0.001179553
21,0.001155577
21,0.002632125
21,0.002109527
20,0.000416548
21,0.001312064
20,0.000873246
21,0.000689605
20,0.000063082
20,0.00174276
20,0.000160838
21,0.00046433
20,0.00058424
19,0.000647072
20,0.000305065
21,0.001510077
19,0.000088478
20,0.000145086
21,0.002986079
21,0.000705271
20,0.000331031
20,0.000316298
21,0.000908995
20,0.001168335
21,0.001103354
20,0.000838552
21,0.007276601
20,0.000089319
21,0.001948423
21,0.005355817
21,0.016207508
21,0.016990542
21,0.002768159
21,0.001059112
21,0.00065974
20,0.002260026
21,0.014144226
21,0.01235798
20,0.000160448
20,0.000088784
21,0.001469128
20,0.000495687
20,0.007495291
21,0.009809052
20,0.000070633
20,0.000053227
20,0.000724159
21,0.000930871
20,0.000245166
21,0.00151263
21,0.006306877
21,0.00111774
20,0.002083996
21,0.000350106
21,0.001678969
21,0.009267083
20,0.000033178
20,0.000036497
20,0.000557122
21,0.000640488
19,0.000023763
19,0.000129749
19,0.00006891
21,0.001095953
20,0.000221482
21,0.008792466
20,0.001174222
20,0.001332109
21,0.000669072
21,0.001134129
19,0.000054978
20,0.001254245
21,0.000933189
21,0.001364394
20,0.000029811
21,0.004455237
20,0.000853871
19,0.000031589
20,0.000272001
19,0.000020068
20,0.007076264
20,0.000138638
21,0.001019566
21,0.001510103
21,0.005681091
21,0.002139901
21,0.000900143
20,0.000631794
20,0.000509154
20,0.001656702
20,0.002723264
20,0.001623335
19,0.0002093
21,0.00961514
21,0.001253482
21,0.002462571
19,0.001968941
21,0.001782447
20,0.003724005
19,0.001015854
21,0.001236597
21,0.00057609
21,0.000362657
19,0.000163202
21,0.000868797
20,0.000540474
21,0.006836048
20,0.000354681
21,0.000460975
21,0.012655757
20,0.000045083
20,0.000137782
21,0.000576066
20,0.001359604
20,0.000327821
20,0.000061451
21,0.000700914
20,0.000936266
21,0.001356047
20,0.000190168
21,0.002697182
21,0.000683624
20,0.000698636
20,0.00004059
20,0.000658624
21,0.002342883
20,0.000334273
21,0.021738847
19,0.006808847
20,0.000171912
19,0.000090141
20,0.000546035
21,0.000493413
20,0.000170737
21,0.000383579
21,0.002300016
20,0.001677746
21,0.000743208
20,0.000176852
21,0.010596389
20,0.000973888
19,0.00006708
20,0.001974742
20,0.004182279
19,0.00839501
20,0.000580398
19,0.001503153
21,0.000336733
19,0.000016377
19,0.000053397
20,0.000021
21,0.000509872
21,0.001678172
21,0.001976178
21,0.000822192
21,0.004474302
21,0.000935028
20,0.000206336
20,0.000765298
20,0.000211584
19,0.000567937
20,0.00001793
21,0.001145707
20,0.004815338
21,0.004944372
21,0.00194085
21,0.025354743
21,0.010055015
20,0.000228322
20,0.000284859
21,0.009071844
21,0.001800289
21,0.00148598
21,0.007648878
20,0.000476772
21,0.001536355
19,0.000112762
17,0.001067734
21,0.000638264
20,0.000420692
20,0.000145154
20,0.000176403
21,0.001295997
20,0.00067789
21,0.000622759
20,0.000205305
20,0.000131429
20,0.001049067
20,0.000087446
20,0.000549722
21,0.000459431
20,0.000218883
21,0.000894676
21,0.001591441
20,0.002284182
21,0.008498513
21,0.001344653
21,0.002035033
20,0.000168222
19,0.000025691
20,0.001566561
19,0.000159329
21,0.000731704
20,0.00779189
20,0.000569025
21,0.015258877
19,0.000059761
21,0.000662174
20,0.000041946
21,0.001036823
20,0.001242101
21,0.001663657
20,0.002674957
21,0.002503908
19,0.000025676
21,0.002613418
21,0.001006022
21,0.012626657
20,0.001193648
19,0.000071864
21,0.000688756
20,0.000523001
21,0.001948902
20,0.000025377
20,0.000357121
21,0.007018626
21,0.002435863
21,0.000968673
20,0.000222306
21,0.003466666
20,0.00134884
20,0.002849893
21,0.001902557
21,0.001024674
19,0.00098713
20,0.01409846
21,0.001059703
21,0.000529399
21,0.001301837
20,0.000259713
20,0.0006581
20,0.000099235
18,0.000199748
21,0.001913319
20,0.000742356
20,0.000766786
21,0.000872663
21,0.001509615
20,0.000361221
20,0.00008462
20,0.000312837
21,0.001910198
21,0.001541561
20,0.00078719
20,0.001132187
20,0.002805927
19,0.00008332
20,0.000098386
20,0.000623303
20,0.001088042
20,0.000746436
21,0.002288492
21,0.000756687
21,0.00078238
20,0.000060149
21,0.013295646
21,0.001117789
20,0.000026926
20,0.00053891
20,0.000015869
20,0.00018252
20,0.000223921
21,0.001030312
20,0.002498304
21,0.002471681
21,0.006792101
20,0.000381151
21,0.001275749
21,0.000821694
20,0.000317936
21,0.001347969
20,0.003684396
18,0.000025597
21,0.001782449
20,0.000944931
19,0.000073607
21,0.00198241
20,0.013016724
20,0.000517728
20,0.003198076
21,0.013083598
20,0.001568099
21,0.000933078
21,0.013100977
19,0.00008896
21,0.000798983
21,0.002514498
20,0.002330678
21,0.00068266
21,0.001406281
21,0.003192816
21,0.001750518
20,0.000296145
20,0.000483142
21,0.001320692
20,0.000384157
21,0.001795901
21,0.001218242
18,0.00070715
21,0.018614826
21,0.000631106
20,0.000974207
21,0.00656034
21,0.000859414
20,0.000029398
20,0.000156919
20,0.004038077
20,0.000279495
18,0.000017605
22,0.006478147
21,0.000627795
21,0.001353683
21,0.000428054
21,0.001928883
20,0.000388831
20,0.000774314
20,0.000627201
21,0.001090874
21,0.001825026
21,0.000498852
21,0.001449903
20,0.000644975
21,0.002729156
21,0.00050026
21,0.000497845
21,0.002433942
21,0.001887558
21,0.002336184
20,0.000536015
21,0.000918138
20,0.000195484
20,0.001537711
20,0.00010203
21,0.000483497
21,0.018327823
20,0.000256287
20,0.001544309
18,0.000068809
21,0.010889018
21,0.001317843
21,0.009592463
21,0.001286175
20,0.001022024
21,0.000543132
20,0.000097675
20,0.000190951
20,0.009335753
20,0.000559741
18,0.000061512
21,0.013443472
20,0.000759942
21,0.001311825
21,0.013737365
21,0.000361967
20,0.00016249
20,0.000903906
20,0.000645784
21,0.000762538
22,0.00685118
21,0.018707873
20,0.000053054
20,0.002979733
21,0.016159348
20,0.000054694
20,0.000530165
21,0.00026535
20,0.000230784
21,0.000859409
20,0.000676102
20,0.000152052
21,0.00106241
21,0.00033147
20,0.000384016
19,0.000177368
21,0.001393294
20,0.001634574
20,0.012261198
20,0.000143003
21,0.001266603
20,0.000503876
21,0.000901032
21,0.001021474
20,0.000416237
19,0.002408509
20,0.005874137
21,0.007281116
21,0.011056664
20,0.000663924
21,0.000685172
21,0.001399603
20,0.000650902
20,0.004336957
21,0.001022115
20,0.005788418
20,0.001271354
19,0.000358922
20,0.001798947
21,0.000981288
19,0.000228419
21,0.002513292
19,0.000494435
20,0.000798222
20,0.000305816
21,0.001564177
19,0.000023174
21,0.001519281
19,0.000069008
21,0.000977765
21,0.001025248
20,0.000846932
20,0.000502591
21,0.002061329
21,0.00072065
20,0.00150558
20,0.000146759
21,0.001752089
21,0.001454756
19,0.00186252
21,0.000543067
19,0.000027229
20,0.000063239
20,0.002711433
21,0.014197181
21,0.005579725
20,0.000089569
20,0.000922696
20,0.000697527
21,0.005921358
20,0.000892225
21,0.00872628
19,0.018250456
20,0.000023898
20,0.000037976
20,0.000047536
21,0.000657279
21,0.00101347
21,0.000827028
20,0.000346774
20,0.000696091
20,0.000470311
20,0.00027307
21,0.001185984
20,0.000164677
20,0.0003999
21,0.004864598
20,0.000226159
20,0.00116861
20,0.001032313
20,0.000065595
21,0.000931202
21,0.001686124
20,0.000037911
20,0.00339885
20,0.001298664
19,0.001223454
21,0.003824509
21,0.007558379
19,0.00015581
20,0.002339672
21,0.000750787
20,0.000275174
18,0.000511507
20,0.000486632
21,0.000833673
21,0.011027167
20,0.000804652
19,0.000687264
21,0.006187556
19,0.000985659
21,0.000996805
22,0.004901905
21,0.000919647
20,0.000042104
21,0.001589526
19,0.001146387
19,0.000103598
21,0.001185243
20,0.00335539
21,0.000696934
21,0.001875281
20,0.000043703
20,0.000995339
20,0.000101963
21,0.000695818
20,0.007347212
21,0.002047825
21,0.001220619
21,0.002344226
20,0.001225543
21,0.001133109
21,0.00072798
21,0.000679651
20,0.001427305
20,0.000464943
21,0.009155805
20,0.000471025
20,0.000066505
21,0.001563649
17,0.000256487
20,0.000294671
21,0.001657334
20,0.000245423
21,0.000662996
19,0.000015606
20,0.00066611
21,0.000645013
21,0.001013813
20,0.000299853
20,0.000333737
21,0.001056395
20,0.00008064
20,0.000804823
21,0.001831362
21,0.001934629
19,0.000947684
19,0.000426791
21,0.001247825
21,0.001687699
21,0.000881378
21,0.002182589
20,0.000032136
21,0.000646474
21,0.002643796
19,0.000278605
20,0.004209456
20,0.009538606
21,0.000650805
20,0.00015419
20,0.001326088
21,0.000708823
21,0.013483469
20,0.006994482
19,0.000680855
21,0.001352882
20,0.000354808
20,0.002465616
20,0.003473717
20,0.000039921
21,0.000860112
21,0.000396612
20,0.000064263
20,0.000146263
19,0.001685216
20,0.000825954
21,0.000605558
20,0.000480846
20,0.00941972
21,0.000303277
21,0.000561498
20,0.00022967
21,0.01366313
20,0.000249121
20,0.000788796
21,0.001865699
21,0.001095603
20,0.000671871
22,0.007361849
20,0.001391844
21,0.000710156
21,0.00807505
20,0.001510318
20,0.000853794
21,0.008335288
21,0.001348633
20,0.001802349
20,0.005377625
19,0.001977889
20,0.000321987
20,0.000067721
20,0.000511873
21,0.001315619
21,0.001710708
20,0.000050022
21,0.007484106
21,0.00414929
19,0.000161894
20,0.000123865
20,0.005497345
21,0.000713701
21,0.031329814
19,0.000570784
