Scramble Length,Solution Moves,Solution Time (s)
18,21,0.007816405
19,20,0.001508896
20,20,0.00824492
1,1,0.000002299
2,2,0.000002928
3,3,0.000002216
4,4,0.000009826
5,5,0.000018706
6,6,0.000048332
7,7,0.000211387
8,8,0.0019091
9,9,0.00569902
10,10,0.001883315
11,16,0.003359194
12,14,0.00144793
13,20,0.006191108
14,20,0.012928446
15,21,0.004102536
16,19,0.004976439
17,22,0.006456462
18,20,0.000748637
19,21,0.001030516
20,21,0.00722487
1,1,0.00000272
2,2,0.000002852
3,3,0.000008288
4,4,0.000005859
5,4,0.000003253
6,6,0.000066772
7,7,0.000081879
8,8,0.020276631
9,16,0.001363636
10,16,0.001144989
11,19,0.000552226
12,15,0.002696933
13,18,0.003577182
14,21,0.007714592
15,20,0.001562696
16,13,0.002425912
17,20,0.00162813
18,19,0.015008335
19,21,0.003426749
20,20,0.001574923
1,1,0.000001265
2,2,0.000001407
3,3,0.000006459
4,4,0.00000312
5,5,0.000011356
6,6,0.000045822
7,4,0.000003659
8,8,0.002363914
9,10,0.005836505
10,15,0.002102573
11,18,0.003657824
12,21,0.001689715
13,20,0.004827327
14,20,0.005496238
15,20,0.003157628
16,19,0.004465201
17,21,0.002691691
18,21,0.005848641
19,20,0.000289791
20,20,0.001278466
1,1,0.000001414
2,2,0.00000234
3,3,0.000002827
4,4,0.000004714
5,5,0.000031443
6,5,0.000006846
7,6,0.000053842
8,8,0.006387395
9,9,0.004638855
10,19,0.021015021
11,11,0.005652653
12,15,0.00234473
13,20,0.003447842
14,14,0.021722391
15,21,0.005315407
16,21,0.000648924
17,18,0.00177911
18,20,0.001760484
19,21,0.000820081
20,20,0.005805846
1,1,0.000001952
2,2,0.000002444
3,3,0.000002813
4,4,0.000022941
5,5,0.000016978
6,6,0.000052262
7,7,0.000608222
8,7,0.002062423
9,18,0.005001412
10,18,0.004114951
11,20,0.007926163
12,10,0.005891659
13,17,0.004020225
14,21,0.0035802
15,18,0.000981062
16,20,0.000978847
17,19,0.00275806
18,21,0.002012511
19,21,0.002203695
20,20,0.003475216
1,1,0.00000296
2,2,0.00000315
3,3,0.00000241
4,4,0.000002955
5,5,0.000016357
6,6,0.000009352
7,7,0.003711366
8,8,0.001336125
9,8,0.014750357
10,17,0.002530983
11,20,0.002854137
12,15,0.002724303
13,21,0.002617007
14,18,0.005482236
15,21,0.006168762
16,21,0.005750936
17,20,0.000652622
18,19,0.00992734
19,20,0.005954842
20,20,0.00235799
1,1,0.000001305
2,2,0.000001809
3,3,0.000002291
4,4,0.000002692
5,5,0.000024759
6,6,0.000210666
7,6,0.000047667
8,8,0.000325301
9,9,0.004505487
10,19,0.002308818
11,10,0.00077362
12,18,0.005134216
13,19,0.003801668
14,21,0.005626634
15,21,0.007880534
16,20,0.003021681
17,20,0.001691014
18,14,0.002701797
19,21,0.002122813
20,20,0.00429078
1,1,0.000002875
2,2,0.000001517
3,3,0.000002662
4,4,0.000004715
5,5,0.00001735
6,3,0.00000207
7,7,0.000358304
8,8,0.001518362
9,7,0.000142568
10,18,0.005661171
11,11,0.001563928
12,20,0.00579238
13,11,0.007879084
14,16,0.000357208
15,19,0.002530733
16,21,0.00188075
17,21,0.004446121
18,19,0.003363021
19,21,0.012363558
20,19,0.001388495
1,1,0.000003155
2,2,0.000001564
3,3,0.000002804
4,2,0.000003008
5,5,0.000003585
6,6,0.000034743
7,7,0.000777194
8,8,0.005447665
9,8,0.007400881
10,19,0.02863206
11,18,0.002506692
12,21,0.00721108
13,15,0.004414159
14,21,0.00775569
15,15,0.002906404
16,21,0.002832635
17,15,0.00532805
18,20,0.007809463
19,20,0.004539478
20,20,0.002838328
1,1,0.000001795
2,2,0.000001881
3,2,0.000002373
4,4,0.000003956
5,4,0.000003077
6,6,0.00011003
7,7,0.000020574
8,8,0.00464468
9,9,0.000857095
10,19,0.000941185
11,17,0.027705364
12,21,0.008547125
13,20,0.006120357
14,20,0.002398198
15,20,0.002777217
16,20,0.00280689
17,21,0.008767661
18,20,0.000857861
19,20,0.001988664
20,21,0.001670299
1,1,0.000003235
2,2,0.000001543
3,3,0.000003241
4,4,0.000003821
5,5,0.000024036
6,2,0.00000219
7,7,0.000283257
8,8,0.02349516
9,9,0.007142102
10,18,0.003025387
11,17,0.006218278
12,19,0.000607786
13,20,0.006231144
14,21,0.00597894
15,18,0.006812128
16,20,0.001064083
17,20,0.005753782
18,20,0.000379602
19,19,0.005931709
20,21,0.002454472
1,1,0.000002185
2,2,0.000001037
3,3,0.000004697
4,4,0.000006064
5,5,0.000008121
6,6,0.000032484
7,7,0.000134829
8,8,0.001040335
9,7,0.000211617
10,14,0.000962488
11,11,0.000997507
12,15,0.000154772
13,20,0.001285813
14,21,0.009492109
15,19,0.006813842
16,19,0.001478515
17,19,0.002263097
18,20,0.003492854
19,19,0.00342614
20,21,0.001173055
1,1,0.000001471
2,2,0.000002116
3,3,0.0000028
4,4,0.00000307
5,5,0.000007977
6,6,0.000024638
7,7,0.000061253
8,8,0.011706198
9,8,0.001449402
10,17,0.002818364
11,19,0.007480728
12,13,0.018224516
13,18,0.002398226
14,20,0.004944755
15,18,0.001237315
16,21,0.002808161
17,20,0.007721291
18,21,0.00092564
19,20,0.008280476
20,18,0.002359715
1,1,0.000002676
2,2,0.000002732
3,3,0.000002117
4,4,0.000003019
5,5,0.000005473
6,6,0.000012468
7,7,0.006153928
8,8,0.001198557
9,13,0.004555922
10,19,0.006395505
11,16,0.001922922
12,20,0.005863595
13,17,0.013069791
14,21,0.001349905
15,21,0.02095112
16,20,0.000666379
17,20,0.005356459
18,20,0.007267652
19,21,0.00408752
20,20,0.003227994
1,1,0.000003064
2,2,0.000001289
3,3,0.000003948
4,4,0.000014289
5,5,0.000024355
6,6,0.000105552
7,7,0.000477317
8,7,0.000043135
9,7,0.000633068
10,17,0.001611349
11,16,0.005843984
12,20,0.00374502
13,20,0.004161687
14,14,0.007320494
15,19,0.002686673
16,13,0.007770093
17,21,0.006391891
18,20,0.005089668
19,21,0.000927552
20,20,0.016748922
1,1,0.000001849
2,2,0.000002575
3,3,0.000005616
4,4,0.000006353
5,5,0.000005424
6,6,0.000063307
7,7,0.000522733
8,8,0.007163094
9,17,0.011842755
10,19,0.000933522
11,16,0.001486533
12,18,0.003636168
13,21,0.005933557
14,20,0.00321488
15,21,0.008303272
16,19,0.005696052
17,21,0.000674437
18,20,0.00757319
19,21,0.003270078
20,20,0.003598676
1,1,0.000002231
2,2,0.000002154
3,3,0.000002875
4,4,0.000003419
5,5,0.000009627
6,6,0.00004011
7,7,0.00058193
8,7,0.000208597
9,6,0.000049067
10,17,0.00429514
11,20,0.000878003
12,15,0.009050225
13,14,0.001065762
14,19,0.000918889
15,20,0.014534448
16,21,0.005085435
17,21,0.008749933
18,20,0.002024555
19,21,0.003488022
20,21,0.001266394
1,1,0.000006262
2,2,0.00000292
3,2,0.000003696
4,4,0.000020308
5,5,0.000043272
6,6,0.000010944
7,7,0.001079138
8,7,0.000571819
9,8,0.021652244
10,18,0.003051387
11,16,0.017273895
12,20,0.004824295
13,16,0.000782376
14,21,0.004790548
15,21,0.002738037
16,20,0.001338383
17,19,0.00408581
18,20,0.000791863
19,20,0.003282222
20,20,0.011907523
1,1,0.000002789
2,2,0.000001804
3,3,0.000003044
4,4,0.000003267
5,5,0.000024929
6,3,0.000003014
7,7,0.00006679
8,8,0.014897363
9,7,0.001111344
10,18,0.008733934
11,19,0.00345822
12,18,0.000987404
13,21,0.001121274
14,20,0.001931336
15,11,0.02310388
16,22,0.009348899
17,20,0.010698129
18,21,0.005409737
19,19,0.004806855
20,19,0.005971645
1,1,0.000002303
2,2,0.000002614
3,3,0.000001762
4,2,0.000001949
5,5,0.000062216
6,4,0.000008754
7,7,0.000706691
8,8,0.01091962
9,17,0.00350648
10,17,0.0072915
11,8,0.003395622
12,20,0.002453112
13,21,0.005181227
14,20,0.010338225
15,19,0.005299076
16,19,0.001939755
17,20,0.001079502
18,20,0.00182164
19,20,0.00281816
20,20,0.00237035
1,1,0.000002092
2,2,0.000002631
3,3,0.000001932
4,4,0.000011689
5,5,0.000003045
6,6,0.000006963
7,7,0.00022677
8,8,0.002344885
9,8,0.005582297
10,17,0.021499289
11,17,0.008569304
12,20,0.00167446
13,21,0.002405679
14,20,0.004693466
15,18,0.009945059
16,21,0.002903634
17,21,0.011822075
18,21,0.013104116
19,20,0.015660295
20,19,0.006328949
1,1,0.000003135
2,2,0.000002448
3,3,0.000002454
4,4,0.000003102
5,5,0.000022322
6,6,0.000022502
7,7,0.000250461
8,8,0.004804559
9,19,0.007386252
10,19,0.000150567
11,11,0.00160058
12,16,0.005286623
13,20,0.004284107
14,20,0.002575396
15,20,0.000894664
16,14,0.02095937
17,21,0.007458809
18,19,0.012341788
19,20,0.006682816
20,21,0.000856442
1,1,0.000001684
2,2,0.000002231
3,3,0.000001822
4,4,0.000007293
5,4,0.000004474
6,6,0.000048606
7,7,0.000032539
8,7,0.00023545
9,9,0.002372261
10,18,0.001605775
11,11,0.007757134
12,14,0.008767866
13,21,0.005286379
14,20,0.001090802
15,19,0.005335661
16,19,0.002788091
17,20,0.001010681
18,20,0.008860015
19,20,0.003529232
20,20,0.003155906
1,1,0.00000278
2,2,0.000002059
3,3,0.000002266
4,4,0.000002596
5,5,0.000019368
6,6,0.000037679
7,7,0.003784383
8,7,0.0016605
9,17,0.017283744
10,18,0.008520598
11,17,0.003110846
12,15,0.005815266
13,20,0.004468377
14,20,0.002124566
15,21,0.00274872
16,21,0.004107421
17,20,0.000885359
18,21,0.006576511
19,20,0.004639022
20,21,0.003630111
1,1,0.000002509
2,2,0.000001928
3,3,0.000003656
4,4,0.000004702
5,5,0.000008932
6,6,0.0001371
7,7,0.000453728
8,6,0.000044444
9,19,0.010036503
10,17,0.013320322
11,9,0.022629568
12,17,0.01384549
13,20,0.001272308
14,20,0.000356686
15,21,0.001670493
16,20,0.011521862
17,20,0.006923788
18,20,0.00196879
19,19,0.001904558
20,20,0.00308197
1,1,0.000002335
2,2,0.000001998
3,3,0.000003168
4,4,0.000002011
5,5,0.00009842
6,6,0.000342613
7,7,0.000234529
8,8,0.00038999
9,14,0.007792579
10,10,0.000409363
11,11,0.003547556
12,21,0.00188267
13,20,0.002341401
14,20,0.001311924
15,20,0.009588017
16,21,0.001669668
17,16,0.006798657
18,20,0.002718581
19,20,0.008298934
20,20,0.002180066
1,1,0.000002203
2,2,0.000001234
3,3,0.000002279
4,4,0.000005699
5,5,0.000012177
6,6,0.00003801
7,7,0.000599773
8,8,0.003285385
9,9,0.00950289
10,10,0.003825372
11,7,0.001130992
12,15,0.000923648
13,13,0.015581553
14,20,0.006399063
15,18,0.006337646
16,20,0.001159351
17,21,0.005491043
18,20,0.00497304
19,20,0.002700722
20,19,0.002831717
1,1,0.000002217
2,2,0.000001578
3,3,0.000001791
4,4,0.000004217
5,4,0.000009003
6,6,0.000055315
7,7,0.000299443
8,8,0.001707295
9,13,0.001095735
10,19,0.005166098
11,20,0.00601765
12,12,0.003481524
13,19,0.005129824
14,20,0.008615915
15,19,0.00140261
16,21,0.000655927
17,20,0.000502145
18,20,0.003255059
19,20,0.009697846
20,21,0.008626069
1,1,0.000002458
2,2,0.000002865
3,3,0.000003817
4,4,0.000005739
5,5,0.000039285
6,6,0.000006469
7,7,0.001164058
