Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019485644
2,2,0.000001797
3,3,0.000003805
4,4,0.000003328
5,5,0.000005712
6,6,0.000101835
7,7,0.000104177
8,8,0.000698684
9,9,0.038495629
10,10,0.4959813
11,19,0.705562867
12,10,0.579073844
13,20,0.792419558
14,18,0.216073815
15,20,0.129913904
16,21,0.220601406
17,20,0.383454717
18,20,0.218470217
19,20,0.233209956
20,18,0.280297431
1,1,0.00000353
2,2,0.000002003
3,3,0.000003097
4,4,0.000006517
5,5,0.000005736
6,6,0.000026444
7,7,0.000204553
8,8,0.006931548
9,7,0.000137475
10,9,0.121214163
11,11,1.798530089
12,18,0.895447284
13,20,0.336276454
14,20,0.158074254
15,19,0.859661839
16,20,0.809224972
17,20,0.21350285
18,20,1.308465594
19,20,1.02998144
20,21,0.198082191
1,1,0.000002979
2,2,0.000002099
3,3,0.000002817
4,4,0.000003492
5,5,0.000068227
6,6,0.000315725
7,7,0.0013556
8,8,0.001034888
9,9,0.039119803
10,10,1.316099172
11,18,0.095969743
12,17,0.467182006
13,19,1.525253159
14,18,0.368204443
15,20,0.395698774
16,20,0.219129385
17,21,0.18575309
18,21,0.332347518
19,21,0.3674478
20,21,0.328291251
1,1,0.000001704
2,2,0.000002284
3,1,0.000001415
4,4,0.000003176
5,5,0.000022004
6,6,0.000082032
7,4,0.000003702
8,8,0.001535411
9,9,0.031247811
10,10,0.983269775
11,20,1.9995283590000001
12,18,0.489695626
13,9,0.036902179
14,20,0.706200661
15,20,0.765673442
16,21,0.335351193
17,21,0.198181506
18,20,0.491381398
19,20,1.260742559
20,20,0.413298879
1,1,0.000002858
2,2,0.000002
3,3,0.000001799
4,4,0.000002955
5,5,0.00000896
6,6,0.000178727
7,7,0.000069816
8,8,0.000529406
9,7,0.001104397
10,10,0.668054993
11,11,0.711165937
12,19,0.442695877
13,18,0.365676053
14,13,0.473527421
15,12,0.117816177
16,19,0.66741576
17,21,0.187063176
18,20,0.459627212
19,21,0.145680837
20,20,0.278762034
1,1,0.000002309
2,2,0.000002277
3,3,0.000002188
4,4,0.000004851
5,5,0.000015493
6,6,0.000043113
7,7,0.001303482
8,6,0.000080343
9,8,0.007145741
10,9,0.010388224
11,20,0.90381994
12,10,0.298419573
13,20,0.656277212
14,20,1.338415183
15,20,0.503924867
16,19,0.761334141
17,20,0.738528769
18,20,0.278416048
19,21,0.162589354
20,21,0.320607571
1,1,0.000002286
2,2,0.000003608
3,3,0.000003712
4,4,0.000005496
5,5,0.000006129
6,6,0.000099688
7,7,0.001009927
8,8,0.009305865
9,8,0.002647185
10,10,0.242525792
11,17,0.154061837
12,19,0.554229264
13,18,1.010166638
14,13,1.279701412
15,21,0.104388374
16,20,0.505903864
17,21,0.243534276
