ida_depth,Time (s)
1,0.021004525
2,0.000192159
3,0.000136355
4,0.000625317
5,0.001278911
6,0.008587896
7,0.000680033
8,0.002503024
9,0.03620841
1,0.001119136
2,0.008510344
3,0.000476167
4,0.001691281
5,0.000917795
6,0.00291774
7,0.008078899
8,0.003339217
9,0.019322311
1,0.001072553
2,0.000985819
3,0.000160802
4,0.00076694
5,0.001185284
6,0.001003192
7,0.000154671
8,0.010916751
9,0.042581129
1,0.006501565
2,0.004275241
3,0.000872119
4,0.001235485
5,0.0019137
6,0.000938249
7,0.001206422
8,0.003506959
9,0.073476362
1,0.00063997
2,0.000387271
3,0.009462503
4,0.004175334
5,0.0005561
6,0.001105022
7,0.001044742
8,0.01250061
9,0.019252354
1,0.0160926
2,0.000194874
3,0.000956021
4,0.001160152
5,0.003285915
6,0.000701451
7,0.001294051
8,0.032156358
9,0.017771184
1,0.000194438
2,0.001234672
3,0.000579403
4,0.00073047
5,0.001248757
6,0.000112893
7,0.000203374
8,0.002030184
9,0.184682609
1,0.007963199
2,0.002525123
3,0.000726666
4,0.001745732
5,0.001367086
6,0.00084715
7,0.00233958
8,0.001868892
9,0.074849747
1,0.001488273
2,0.000764195
3,0.00101742
4,0.000310646
5,0.002665074
6,0.000913752
7,0.002094036
8,0.002283622
9,0.096549733
1,0.000085582
2,0.003007525
3,0.000587801
4,0.000912765
5,0.000061717
6,0.002062004
7,0.001527669
8,0.018315745
9,0.033169047
1,0.002477383
2,0.001447039
3,0.002014175
4,0.014154624
5,0.000681342
6,0.000045877
7,0.000129304
8,0.001904247
9,0.04388449
1,0.001075741
2,0.001865725
3,0.006434244
4,0.000650303
5,0.000832795
6,0.001631788
7,0.000419921
8,0.017381911
9,0.096858526
1,0.000721346
2,0.000464022
3,0.006806591
4,0.00077641
5,0.000278792
6,0.000284666
7,0.000906287
8,0.025483076
9,0.040009256
1,0.0002559
2,0.000081915
3,0.001415873
4,0.002474151
5,0.000102214
6,0.010223701
7,0.00095831
8,0.009379735
9,0.148193592
1,0.00108598
2,0.001225585
3,0.000074362
4,0.001550254
5,0.000820934
6,0.004953627
7,0.000144902
8,0.01364112
9,0.024142068
1,0.000668313
2,0.001740148
3,0.000722448
4,0.004369003
5,0.000691055
6,0.002236786
7,0.00117298
8,0.005818953
