Scramble Length,Solution Moves,Solution Time (s)
1,1,0.020004475
2,2,0.000002674
3,3,0.000003603
4,4,0.000006269
5,5,0.000041733
6,6,0.000022605
7,7,0.000784883
8,8,0.01477598
9,9,0.052907654
10,17,0.009660843
11,17,0.035933588
12,20,0.055814271
13,19,0.033101442
14,20,0.011275625
15,14,0.106148729
16,21,0.026288704
17,21,0.051544096
18,19,0.020306763
19,21,0.034982031
20,20,0.060559651
1,1,0.00000292
2,2,0.000002954
3,3,0.000002176
4,3,0.000002505
5,5,0.000003811
6,6,0.000027679
7,7,0.000157643
8,8,0.013199979
9,9,0.035968826
10,10,0.032669389
11,13,0.166502711
12,19,0.069726876
13,15,0.021782956
14,20,0.05521743
15,18,0.187135059
16,21,0.009087886
17,20,0.085965913
18,18,0.0409521
19,20,0.099421308
20,20,0.015509526
1,1,0.000002405
2,2,0.000001762
3,3,0.000002221
4,4,0.00000346
5,5,0.000029905
6,6,0.000059627
7,5,0.000003683
8,8,0.004601759
9,9,0.033013563
10,13,0.031463203
11,19,0.018801767
12,9,0.014285393
13,13,0.04971568
14,20,0.014184697
15,20,0.055752869
16,20,0.075054699
17,19,0.076309409
18,21,0.049094712
19,21,0.020597441
20,20,0.017961684
1,1,0.00000146
2,2,0.000002407
3,3,0.000002411
4,4,0.000027206
5,5,0.000031633
6,6,0.000044933
7,7,0.000799019
8,7,0.001223287
9,9,0.003584314
10,10,0.032736864
11,20,0.062654186
12,14,0.038675244
13,20,0.04460464
14,20,0.034701173
15,20,0.043120888
16,21,0.017879182
17,19,0.058963077
18,20,0.046019382
19,21,0.026732603
20,21,0.022433377
1,1,0.000002408
2,2,0.000000879
3,3,0.000004386
4,4,0.000011639
5,5,0.000012859
6,6,0.000139688
7,7,0.001087781
8,8,0.007106775
9,9,0.0088827
10,15,0.056483298
11,19,0.160359071
12,19,0.018894647
13,19,0.012336558
14,17,0.07348243
15,18,0.089294701
16,13,0.109168963
17,21,0.00579289
18,21,0.045058514
19,20,0.06822639
20,20,0.030340671
1,1,0.000003685
2,2,0.000002888
3,3,0.000002986
4,1,0.000001772
5,1,0.000000864
6,6,0.000100908
7,7,0.000211784
8,8,0.001932169
9,7,0.000288214
10,12,0.213102895
11,11,0.041126376
12,18,0.059295734
13,20,0.057327046
14,20,0.041854801
15,19,0.054058526
16,20,0.016846255
17,18,0.077898628
18,19,0.085091554
19,21,0.013446665
20,21,0.018349332
1,1,0.000002713
2,2,0.000002609
3,3,0.000002124
4,4,0.000005185
5,4,0.000003579
6,6,0.000019399
7,7,0.001344805
8,8,0.000185771
9,7,0.002111292
10,9,0.078426694
11,9,0.015643573
12,18,0.056146325
13,20,0.085165553
14,21,0.029513706
15,16,0.030002129
16,21,0.086907072
17,20,0.036520682
18,20,0.062333364
19,20,0.083416912
20,20,0.016181069
1,1,0.000003248
2,2,0.000001812
3,3,0.000003184
4,4,0.000004811
5,5,0.000023113
6,6,0.000012743
7,7,0.000088993
8,8,0.006559748
9,9,0.041254944
10,20,0.017128059
11,20,0.014924156
12,12,0.0086074
13,13,0.036876258
14,20,0.07110813
15,20,0.057118175
16,21,0.017603392
17,20,0.066290697
18,19,0.044748252
19,21,0.029535416
20,18,0.23040599
1,1,0.00000228
2,2,0.000001974
3,3,0.000005706
4,3,0.000001881
5,5,0.000011269
6,6,0.000145274
7,7,0.000482177
8,8,0.000408804
9,9,0.023853856
10,15,0.065528494
11,19,0.02078317
12,9,0.009336558
13,20,0.066583561
14,20,0.049096106
15,21,0.010069456
16,20,0.008433196
17,19,0.024531295
18,21,0.010807427
19,20,0.01559111
20,19,0.049517724
1,1,0.000003185
2,2,0.000001718
3,3,0.000002121
4,4,0.000005558
5,5,0.000008559
6,6,0.000093711
7,7,0.000140851
8,8,0.00152346
9,9,0.00293195
10,19,0.059603458
11,9,0.002375254
12,16,0.0567747
13,15,0.381847459
14,20,0.074048292
15,9,0.020451148
16,19,0.017936092
17,20,0.025728347
18,20,0.0196373
19,20,0.109683659
20,20,0.013185215
1,1,0.000001951
2,2,0.000001778
3,3,0.000003563
4,4,0.000003678
5,5,0.000031139
6,4,0.000018413
7,7,0.003499592
8,7,0.000204671
9,9,0.0200652
10,17,0.124655746
11,16,0.055849997
12,19,0.020776723
13,21,0.02090883
14,20,0.044673728
15,20,0.030806739
16,20,0.0334521
17,21,0.027638292
18,20,0.130059136
19,20,0.034722789
20,20,0.042461905
1,1,0.000002701
2,2,0.000001318
3,3,0.000002399
4,4,0.000010089
5,5,0.000029166
6,6,0.000114397
7,5,0.000050174
8,8,0.002149254
9,9,0.032309939
10,17,0.063972897
11,20,0.042485736
12,19,0.019751492
13,20,0.03332359
14,21,0.045554917
15,20,0.010995762
16,20,0.119564464
17,20,0.010980805
18,20,0.080000394
19,20,0.072138925
20,20,0.036472612
1,1,0.000001732
2,2,0.000003108
3,3,0.000002819
4,4,0.00000351
5,5,0.000009565
6,6,0.000077793
7,7,0.000057614
8,5,0.000003363
9,9,0.023090489
10,14,0.044846543
11,18,0.015280395
12,12,0.052004029
13,15,0.054154226
14,19,0.015278149
15,20,0.033914816
16,19,0.026484817
17,22,0.013982311
18,19,0.034206864
19,20,0.010670781
20,19,0.037766437
1,1,0.000002595
2,2,0.000001763
3,3,0.000002905
4,4,0.000005146
5,5,0.000040542
6,6,0.000018277
7,7,0.000206346
8,8,0.004576408
9,9,0.029055327
10,10,0.032064416
11,6,0.000074714
12,18,0.028736373
13,19,0.015541871
14,21,0.039650366
15,20,0.034089533
16,20,0.05122904
17,21,0.013314495
18,21,0.057811293
19,18,0.043273716
20,20,0.096288306
1,1,0.000003222
2,2,0.00000226
3,3,0.000003729
4,4,0.000003107
5,5,0.000136867
6,6,0.000014246
7,7,0.000970896
8,5,0.000017815
9,7,0.000514233
10,20,0.098904637
11,9,0.024982001
12,19,0.040890277
13,16,0.041936899
14,20,0.007882985
15,21,0.027900533
16,16,0.043773351
17,19,0.022361163
18,21,0.011212752
19,18,0.054156391
20,20,0.033077051
1,1,0.000002715
2,2,0.000001622
3,3,0.000002716
4,4,0.00000859
5,5,0.000040128
6,5,0.000007758
7,7,0.001475814
8,8,0.004902675
9,9,0.057257066
10,10,0.062473964
11,11,0.044956298
12,17,0.066507967
13,16,0.039462002
14,21,0.016876018
15,17,0.048226799
16,21,0.020897144
17,20,0.096615879
18,20,0.022024709
19,20,0.010114335
20,20,0.015739167
1,1,0.000002858
2,2,0.000002404
3,3,0.000001994
4,4,0.00000381
5,5,0.000017287
6,6,0.000004893
7,7,0.000406555
8,7,0.000796131
9,9,0.013582813
10,7,0.001107978
11,19,0.033951302
12,20,0.012579593
13,20,0.012753892
14,18,0.157856807
15,20,0.019568325
16,19,0.048504577
17,20,0.031023353
18,20,0.031881057
19,20,0.037651545
20,21,0.011130554
1,1,0.000002496
2,2,0.000002591
3,3,0.000002932
4,4,0.000002954
5,5,0.000011646
6,6,0.000062385
7,7,0.000461098
8,8,0.000877003
9,8,0.000963434
10,9,0.08964581
11,20,0.049137422
12,11,0.020493009
13,20,0.056721177
14,20,0.010376301
15,20,0.00811506
16,20,0.049774247
17,20,0.229621244
18,21,0.007987463
19,20,0.028150564
20,21,0.023061757
1,1,0.000002319
2,2,0.000003072
3,3,0.000003844
4,4,0.000007499
5,5,0.000015972
6,6,0.000886968
7,7,0.002175918
8,8,0.002131032
9,9,0.025088273
10,8,0.000287279
11,11,0.241575193
12,21,0.13604595
13,13,0.141164747
14,14,0.119941127
15,20,0.028739695
16,20,0.05603708
17,20,0.036053242
18,21,0.022725392
19,21,0.018392532
20,20,0.03243277
1,1,0.000002265
2,2,0.000001327
3,3,0.000002262
4,4,0.000003034
5,5,0.000038242
6,5,0.000030455
7,7,0.00064807
8,8,0.000369809
9,9,0.009635804
10,17,0.080784619
11,19,0.041350951
12,20,0.05138026
13,21,0.016048301
14,19,0.165761022
15,21,0.016237496
16,20,0.024444573
17,20,0.046509701
18,21,0.012499627
19,20,0.016212077
20,20,0.103860285
1,1,0.000002333
2,2,0.000001846
3,3,0.000001783
4,4,0.000004575
5,5,0.000003188
6,6,0.000044548
7,7,0.000396858
8,8,0.001299212
9,9,0.090915258
10,17,0.097915858
11,20,0.012490309
12,17,0.220199862
13,18,0.026523158
14,16,0.356807233
15,18,0.03998835
16,20,0.049426602
17,21,0.018106297
