Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019985487
2,2,0.000002017
3,3,0.00000412
4,4,0.000003809
5,5,0.000018682
6,6,0.000080381
7,9,0.0001445
8,15,0.000144167
9,15,0.000090316
10,13,0.000260574
11,14,0.000070312
12,17,0.000080445
13,20,0.000692414
14,17,0.000741253
15,19,0.000019272
16,20,0.00148769
17,20,0.000730803
18,18,0.000046317
19,21,0.001475185
20,19,0.000039666
1,1,0.000001475
2,2,0.000002354
3,3,0.000002413
4,4,0.000002892
5,5,0.000041349
6,6,0.000211602
7,13,0.000261829
8,15,0.000012121
9,18,0.000201217
10,9,0.000015507
11,18,0.000092807
12,19,0.000062214
13,19,0.000218962
14,20,0.000022231
15,19,0.000062018
16,20,0.000101515
17,21,0.001194753
18,19,0.000685378
19,20,0.001933078
20,20,0.000717049
1,1,0.00000208
2,2,0.00000166
3,3,0.000003426
4,4,0.000004866
5,5,0.00001171
6,6,0.000142476
7,7,0.000103999
8,15,0.00010753
9,7,0.000181304
10,20,0.00012883
11,20,0.000206906
12,18,0.000034628
13,20,0.000380493
14,19,0.000025056
15,21,0.013943547
16,20,0.000739511
17,20,0.000853082
18,20,0.004982737
19,20,0.000156264
20,21,0.001517974
1,1,0.000002888
2,2,0.000002299
3,3,0.000002846
4,4,0.000005102
5,5,0.000005185
6,6,0.000211032
7,14,0.000304853
8,13,0.000225156
9,16,0.000034494
10,15,0.000042077
11,14,0.000060869
12,18,0.000200078
13,15,0.000146576
14,20,0.000275689
15,20,0.000472738
16,20,0.000198914
17,19,0.000876985
18,21,0.006616174
19,20,0.000317117
20,21,0.000889249
1,1,0.000002477
2,2,0.000003016
3,3,0.000003588
4,4,0.000003857
5,5,0.000008158
6,6,0.000066026
7,6,0.000055135
8,13,0.000052552
9,9,0.000019193
10,15,0.000164842
11,18,0.000582683
12,20,0.000053678
13,19,0.000354279
14,21,0.007036075
15,19,0.001491789
16,21,0.001073482
17,21,0.0016947
18,19,0.001161514
19,21,0.001707222
20,21,0.00074303
1,1,0.000003419
2,2,0.00000219
3,3,0.000004472
4,4,0.000004375
5,5,0.000052491
6,6,0.000029237
7,14,0.000183621
8,15,0.000133216
9,14,0.000094897
10,17,0.000150041
11,20,0.001001239
12,15,0.000077559
13,22,0.014252943
14,18,0.000050618
15,19,0.000086889
16,16,0.000021482
17,20,0.002378192
18,21,0.000678162
19,21,0.001480237
20,20,0.010694813
1,1,0.000004242
2,2,0.000002282
3,3,0.00000377
4,2,0.00000324
5,5,0.000012085
6,6,0.000006635
7,5,0.000008931
8,14,0.000077703
9,8,0.000012086
10,18,0.000079594
11,17,0.000044228
12,20,0.000108022
13,15,0.000079635
14,20,0.000122054
15,20,0.000059321
16,20,0.000092691
17,20,0.000093462
18,21,0.000488693
19,18,0.008711782
20,20,0.000169683
1,1,0.00000254
2,2,0.000003012
3,3,0.000002474
4,4,0.000008516
5,5,0.00000868
6,6,0.000176353
7,14,0.00051265
8,8,0.000106109
9,11,0.000197884
10,12,0.000161918
11,15,0.000051472
12,16,0.000116868
13,20,0.001428924
14,20,0.0001633
15,18,0.000045107
16,20,0.000293692
17,21,0.006395047
18,21,0.000455719
19,20,0.003920485
20,20,0.001865514
1,1,0.000003267
2,2,0.000002569
3,3,0.000002109
4,4,0.000050642
5,5,0.00001265
6,6,0.000016148
7,14,0.000889004
8,15,0.000396814
9,17,0.000074214
10,10,0.00007708
11,16,0.000601926
12,16,0.000114534
13,19,0.000167328
14,20,0.000243594
15,20,0.011210821
16,20,0.010215736
17,20,0.000065348
18,20,0.000347184
19,21,0.001472331
20,21,0.000820743
1,1,0.00000174
2,2,0.000001759
3,3,0.000002945
4,4,0.000006115
5,5,0.000012358
6,6,0.000022507
7,7,0.000220164
8,15,0.000159679
9,9,0.000201663
10,17,0.000068982
11,20,0.00001376
12,21,0.000334262
13,13,0.000028518
14,21,0.001216355
15,17,0.000571563
16,20,0.000032728
17,19,0.000042982
18,17,0.000542827
19,21,0.001832784
20,20,0.000199712
1,1,0.000001418
2,2,0.000002314
3,3,0.000003433
4,4,0.00000328
5,5,0.000019273
6,5,0.000011737
7,7,0.000162761
8,10,0.000155539
9,13,0.0000379
10,15,0.000106178
11,20,0.000207
12,16,0.000175106
13,21,0.002924755
14,21,0.0023838
15,21,0.000855258
16,21,0.000886204
17,21,0.007048428
18,21,0.0013934
19,20,0.000733163
20,21,0.001480884
1,1,0.000001954
2,2,0.000002881
3,3,0.000004115
4,4,0.000006458
5,5,0.000003982
6,6,0.000230343
7,6,0.000087518
8,11,0.000019359
9,14,0.000092301
10,16,0.000081832
11,16,0.000017692
12,12,0.000048871
13,20,0.00006934
14,20,0.000418361
15,21,0.003069182
16,20,0.000640729
17,19,0.000112726
18,20,0.000894489
19,21,0.018021067
20,21,0.001305258
1,1,0.000002599
2,2,0.00000285
3,3,0.000004428
4,4,0.000007156
5,5,0.000009536
6,6,0.00007247
7,7,0.000137095
8,14,0.000061181
9,8,0.000017531
10,19,0.000121522
11,20,0.000089401
12,19,0.000203572
13,11,0.000026888
14,17,0.000773068
15,20,0.000101487
16,21,0.001305102
17,18,0.000088463
18,16,0.000039576
19,20,0.000203772
20,20,0.001193327
1,1,0.000001353
2,2,0.000003368
3,2,0.000001484
4,4,0.000007851
5,5,0.000016961
6,6,0.000628518
7,7,0.00006133
8,14,0.000056544
9,6,0.000081339
10,10,0.000013824
11,20,0.000191985
12,20,0.000264755
13,20,0.000243982
14,21,0.002459135
15,20,0.000678528
16,21,0.001059382
17,20,0.000038756
18,20,0.001941305
19,20,0.000127235
20,21,0.000812413
1,1,0.000001549
2,2,0.000002205
3,3,0.000003873
4,4,0.000009635
5,5,0.000029667
6,6,0.000042001
7,5,0.000007769
8,8,0.000040146
9,14,0.000096536
10,16,0.000069336
11,20,0.000194675
12,19,0.000066053
13,20,0.000231695
14,20,0.000194687
15,20,0.000415413
16,20,0.001659282
17,20,0.000673018
18,20,0.000136987
19,21,0.000098094
20,20,0.000027831
1,1,0.00000172
2,2,0.000001327
3,3,0.000003469
4,4,0.000016753
5,5,0.000015067
6,6,0.000457113
7,16,0.00000901
8,8,0.000120875
9,17,0.00028349
10,17,0.000321365
11,11,0.000228847
12,11,0.000789518
13,18,0.000074262
14,19,0.000664446
15,21,0.012388422
16,21,0.000293724
17,20,0.000284756
18,16,0.001149803
19,20,0.000069071
20,20,0.000818241
1,1,0.000003242
2,2,0.000002759
3,3,0.000005439
4,4,0.000016441
5,5,0.000017796
6,4,0.000004996
7,5,0.000003723
8,8,0.000074801
9,17,0.000031132
10,17,0.00008384
11,11,0.00004802
12,10,0.0000617
13,20,0.000831833
14,19,0.000290782
15,19,0.000101211
16,20,0.000102104
17,21,0.001004492
18,20,0.000255451
19,21,0.002134785
20,19,0.010329736
1,1,0.000002903
2,2,0.000001463
3,3,0.0000049
4,4,0.000005102
5,5,0.000007633
6,5,0.000004327
7,16,0.000075379
8,6,0.00015074
9,9,0.000016476
10,15,0.000144821
11,17,0.000051435
12,18,0.000278326
13,18,0.000023684
14,20,0.000145827
15,19,0.001222435
16,21,0.001600701
17,19,0.000077423
18,20,0.001561869
19,21,0.001385045
20,20,0.001549386
1,1,0.000003278
2,2,0.000001589
3,3,0.000003866
4,4,0.000012965
5,5,0.000025849
6,5,0.000024724
7,7,0.000255829
8,8,0.000040086
9,15,0.000159778
10,18,0.000041068
11,16,0.000120188
