Scramble Length,Solution Moves,Solution Time (s)
18,19,0.000085066
19,21,0.000602604
20,21,0.000519478
21,21,0.004057771
22,19,0.000703663
23,20,0.000318728
24,21,0.016498281
25,21,0.001403073
26,21,0.000500577
27,20,0.000266631
28,20,0.001384327
29,21,0.001089774
30,20,0.000593843
1,1,0.00000273
2,2,0.000002385
3,10,0.000070342
4,4,0.000003444
5,15,0.000041994
6,13,0.000011384
7,11,0.000014163
8,10,0.000030979
9,16,0.000070523
10,12,0.000008384
11,19,0.000051453
12,21,0.001057724
13,20,0.001358097
14,20,0.000211145
15,20,0.00010186
16,20,0.000138572
17,21,0.000846891
18,20,0.000409646
19,21,0.001099232
20,21,0.000345654
21,20,0.000928127
22,20,0.005457973
23,21,0.001714567
24,21,0.002525991
25,21,0.015309499
26,19,0.000918706
27,20,0.000771896
28,19,0.000068854
29,21,0.000436056
30,20,0.004470257
1,1,0.0000033
2,2,0.000002778
3,10,0.00007761
4,4,0.000003166
5,5,0.000004159
6,6,0.000004293
7,7,0.000004829
8,8,0.000019969
9,16,0.000045882
10,16,0.000016195
11,16,0.000014064
12,17,0.000043107
13,19,0.000045015
14,16,0.000019805
15,20,0.000063706
16,20,0.000389863
17,20,0.000326811
18,21,0.001209021
19,20,0.000892668
20,20,0.000343087
21,20,0.000547095
22,20,0.000719748
23,20,0.002375307
24,20,0.000038616
25,21,0.002848052
26,20,0.001648142
27,20,0.003592665
28,19,0.000823836
29,20,0.000816137
30,21,0.001111142
1,1,0.000002549
2,7,0.000039865
3,3,0.000003013
4,4,0.000003192
5,5,0.000003449
6,15,0.000044399
7,7,0.000005998
8,15,0.000010987
9,8,0.00000786
10,15,0.000024626
11,17,0.000012683
12,21,0.000661634
13,20,0.000073641
14,19,0.00004945
15,19,0.00014139
16,20,0.003071209
17,21,0.001395954
18,20,0.000597887
19,20,0.000163913
20,20,0.001252894
21,20,0.000193552
22,21,0.00080916
23,20,0.00103308
24,20,0.000044628
25,20,0.000968564
26,20,0.002667743
27,20,0.005514208
28,20,0.001807716
29,21,0.00062761
30,21,0.022066927
1,1,0.000003884
2,2,0.000002077
3,8,0.00007285
4,8,0.000010568
5,12,0.000011053
6,13,0.00005668
7,17,0.000010141
8,13,0.000006904
9,11,0.000043628
10,18,0.000027668
11,14,0.000070171
12,12,0.00008201
13,20,0.000035837
14,20,0.000054588
15,21,0.002616861
16,20,0.000545021
17,19,0.000760045
18,20,0.001354578
19,21,0.009553279
20,21,0.001482671
21,20,0.000792792
22,20,0.000504279
23,19,0.000261864
24,20,0.000209881
25,21,0.001138471
26,20,0.000394299
27,21,0.000167875
28,20,0.000204238
29,21,0.001227992
30,19,0.000055962
1,1,0.000002273
2,2,0.000002628
3,3,0.000002605
4,4,0.000003416
5,8,0.00000762
6,6,0.000004072
7,12,0.000009826
8,8,0.000014456
9,16,0.000015824
10,16,0.00000969
11,8,0.00004316
12,17,0.000070044
13,21,0.001409692
14,16,0.000014428
15,21,0.001346469
16,20,0.001988299
17,20,0.01788594
18,21,0.001584431
19,21,0.000888494
20,20,0.000230622
21,21,0.001335794
22,20,0.000041615
23,20,0.000087703
24,21,0.001582684
25,20,0.000331392
26,21,0.006436541
27,21,0.000879316
28,20,0.000496056
29,21,0.000648893
30,19,0.0007654
1,1,0.000002198
2,2,0.000001997
3,3,0.000002645
4,11,0.000070969
5,12,0.000055477
6,13,0.000051687
7,7,0.000005031
8,8,0.000005932
9,15,0.000007871
10,17,0.000039428
11,20,0.000080831
12,20,0.000044115
13,19,0.001771459
14,20,0.00247466
15,15,0.000013414
16,21,0.001473509
17,19,0.000514476
18,20,0.000104901
19,18,0.000018321
20,19,0.00001449
21,20,0.000319936
22,17,0.000050162
23,20,0.000074825
24,20,0.000540729
25,20,0.003260278
26,21,0.001410992
27,21,0.008570193
28,20,0.001337283
29,21,0.000827872
30,20,0.00115793
1,1,0.000002449
2,2,0.000002013
3,3,0.000002936
4,4,0.00000272
5,8,0.000008754
6,9,0.00000798
7,13,0.000069655
8,13,0.000035649
9,19,0.000012809
10,14,0.000018043
11,19,0.000075645
12,19,0.000017341
13,11,0.000027801
14,20,0.000169499
15,17,0.00001691
16,20,0.00015503
17,20,0.000861253
18,19,0.000014799
19,21,0.000641843
20,21,0.000516755
21,21,0.000696147
22,21,0.003047027
23,20,0.000037098
24,20,0.001096354
25,20,0.000868399
26,19,0.001099199
27,20,0.000020011
28,21,0.000761913
29,19,0.000605164
30,20,0.000293075
1,1,0.000002327
2,9,0.000091025
3,3,0.000002513
4,4,0.000003238
5,5,0.000003953
6,6,0.000005569
7,12,0.000043462
8,15,0.000021491
9,9,0.000006638
10,14,0.000032726
11,14,0.000013202
12,20,0.001572086
13,20,0.001331495
14,20,0.000969432
15,21,0.00293834
16,20,0.000302372
17,15,0.00010418
18,20,0.000341731
19,20,0.000101665
20,20,0.000054187
21,21,0.022106323
22,20,0.005658402
23,21,0.00182367
24,20,0.000081093
25,20,0.00039903
26,20,0.000566191
27,21,0.001893356
28,20,0.000042306
29,21,0.003663709
30,20,0.000106474
1,1,0.000002531
2,2,0.000001673
3,10,0.000051353
4,9,0.000051388
5,10,0.000028284
6,14,0.000008603
7,7,0.000005102
8,16,0.000115735
9,9,0.000032198
10,10,0.000013652
11,17,0.000306052
12,18,0.000051221
13,13,0.000035636
14,17,0.000009426
15,20,0.000431304
16,19,0.000379437
17,21,0.00171389
18,20,0.000044433
19,20,0.001277846
20,21,0.000632238
21,18,0.000066607
22,20,0.002438445
23,21,0.000852144
24,20,0.00789215
25,20,0.000076952
26,21,0.002734307
27,20,0.000041948
28,21,0.000744294
29,21,0.002465322
30,20,0.00001537
1,1,0.000002308
2,9,0.000072083
3,3,0.000002365
4,4,0.00000302
5,13,0.000008078
6,15,0.000020796
7,13,0.000007881
8,13,0.000030259
9,9,0.000005277
10,15,0.000026531
11,19,0.000062346
12,20,0.000048065
13,20,0.000037874
14,11,0.000008095
15,20,0.00206366
16,21,0.001377297
17,21,0.001492052
18,20,0.000096679
19,20,0.002436941
20,20,0.000921064
21,20,0.000069765
22,21,0.001549718
23,22,0.00333701
24,21,0.007893741
25,21,0.008526027
26,21,0.003219898
27,20,0.000206024
28,20,0.001340339
29,20,0.000770122
30,20,0.001657775
1,8,0.000067401
2,2,0.000002409
3,13,0.000037959
4,4,0.000003159
5,12,0.000053397
6,16,0.000012049
7,7,0.000004747
8,14,0.000046617
9,15,0.000035469
10,10,0.000014653
11,18,0.000009709
12,20,0.000059136
13,20,0.000596135
14,19,0.000012988
15,21,0.000535879
16,19,0.003670028
17,20,0.000081459
18,20,0.000038318
19,21,0.001197494
20,21,0.001185768
21,19,0.000053229
22,20,0.000870879
23,20,0.002040206
24,21,0.013525458
25,20,0.000068849
26,20,0.000500589
27,20,0.000287125
28,21,0.000568799
29,19,0.00008406
30,21,0.000544431
1,1,0.000002416
2,2,0.000002293
3,8,0.000013866
4,8,0.000006968
5,5,0.000003306
6,11,0.000012384
7,12,0.000007462
8,8,0.000005503
9,16,0.000074418
10,16,0.000017023
11,9,0.000005676
12,21,0.000425338
13,18,0.000145375
14,20,0.001960297
15,20,0.00024414
16,20,0.000055143
17,22,0.006784633
18,20,0.001184607
19,20,0.000875644
20,20,0.000267404
21,21,0.001128239
22,19,0.007200802
23,20,0.000412848
24,20,0.00028341
25,20,0.000052106
26,20,0.000044457
27,20,0.000032826
28,21,0.000907908
29,21,0.001668451
30,21,0.001359754
1,8,0.000073194
2,8,0.000009457
3,10,0.000056272
4,4,0.000003025
5,10,0.000008679
6,16,0.000020298
7,16,0.000023533
8,8,0.000005175
9,14,0.000030774
10,19,0.000020723
11,16,0.002112257
12,21,0.000930981
