Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019384768
2,2,0.000002644
3,3,0.000004732
4,4,0.00000409
5,5,0.0000085
6,6,0.000171694
7,7,0.000241824
8,8,0.000248045
9,7,0.000451858
10,9,0.000326092
11,18,0.002117703
12,17,0.000352119
13,17,0.001243688
14,21,0.002686817
15,19,0.000737108
16,20,0.0008502
17,19,0.000632662
18,20,0.010305043
19,21,0.002337593
20,21,0.001047041
1,1,0.000002277
2,2,0.000002392
3,3,0.000003062
4,4,0.000006811
5,5,0.00005097
6,6,0.000220778
7,7,0.000205362
8,8,0.001468742
9,17,0.000571986
10,14,0.000147078
11,8,0.000967779
12,18,0.000116842
13,19,0.000370239
14,21,0.001331353
15,19,0.000805468
16,20,0.000518425
17,20,0.000569743
18,19,0.000505971
19,19,0.000402056
20,20,0.000269133
1,1,0.000001479
2,2,0.000001795
3,1,0.000000914
4,4,0.000007923
5,5,0.000007304
6,6,0.000205886
7,5,0.000006452
8,8,0.001045601
9,16,0.000304137
10,16,0.000893595
11,11,0.000668405
12,19,0.000148886
13,20,0.001209314
14,20,0.000478238
15,21,0.000657586
16,21,0.001373307
17,21,0.001188344
18,21,0.001665533
19,20,0.000559913
20,21,0.001556842
1,1,0.000002004
2,2,0.000002765
3,3,0.000001815
4,4,0.000005235
5,5,0.000028232
6,5,0.000009389
7,7,0.000279247
8,16,0.000152366
9,10,0.001408804
10,17,0.000136242
11,20,0.000126918
12,20,0.000606411
13,21,0.001258648
14,16,0.00018441
15,20,0.002887282
16,17,0.00126363
17,20,0.001064696
18,20,0.00019857
19,21,0.001284835
20,19,0.007317346
1,1,0.00000254
2,2,0.000001506
3,3,0.000002014
4,4,0.000015349
5,5,0.000034572
6,6,0.000029466
7,7,0.00026908
8,8,0.000446094
9,14,0.000698391
10,15,0.000390338
11,17,0.000175862
12,15,0.000405321
13,20,0.001452549
14,20,0.001339246
15,19,0.000333045
16,21,0.000580182
17,21,0.000967721
18,21,0.000892459
19,20,0.000447186
20,20,0.001366648
1,1,0.00000198
2,2,0.000001629
3,3,0.000002685
4,4,0.000005547
5,5,0.000010544
6,5,0.000006308
7,7,0.000645604
8,15,0.000251454
9,7,0.002553754
10,15,0.000072317
11,11,0.000103245
12,19,0.000562914
13,20,0.000921343
14,19,0.000324321
15,21,0.000890579
16,19,0.000237875
17,21,0.000659519
18,20,0.000920124
19,19,0.002146438
20,17,0.001714421
1,1,0.000002803
2,2,0.000002857
3,3,0.000006331
4,3,0.000002639
5,5,0.000009578
6,6,0.000050222
7,7,0.000019035
8,7,0.000762608
9,16,0.000737467
10,20,0.000592145
11,15,0.001367412
12,19,0.000978118
13,20,0.000299771
14,19,0.000467384
15,21,0.000856153
16,21,0.000918769
17,21,0.00134199
18,21,0.002063852
19,20,0.000274343
20,20,0.003745607
1,1,0.000003239
2,2,0.000002099
3,3,0.000003134
4,4,0.00000416
5,5,0.000045121
6,6,0.000080939
7,7,0.00011008
8,15,0.000134132
9,13,0.000099415
10,10,0.000485972
11,15,0.000247071
12,20,0.000643453
13,21,0.000952691
14,21,0.001978467
15,20,0.001402623
16,21,0.000426449
17,20,0.001278074
18,18,0.000422841
19,20,0.009919469
20,20,0.00035174
1,1,0.000002668
2,2,0.00000163
3,3,0.00000228
4,4,0.000017817
5,5,0.000012832
6,6,0.000133573
7,7,0.000918084
8,6,0.000184385
9,15,0.000041376
10,16,0.00266979
11,16,0.001081749
12,12,0.000792437
13,18,0.004357493
14,20,0.000745912
15,17,0.0007361
16,18,0.000321083
17,21,0.001914395
18,21,0.000556878
19,20,0.001377665
20,21,0.001320725
1,1,0.000002634
2,2,0.000001272
3,3,0.000001865
4,4,0.000003439
5,5,0.000031301
6,6,0.000022961
7,5,0.00001229
8,15,0.000107738
9,15,0.000228664
10,14,0.000513896
11,20,0.000797122
12,21,0.000900175
13,20,0.00091137
14,19,0.000073271
15,21,0.013133031
16,20,0.000426117
17,21,0.002023136
18,21,0.000621783
19,21,0.001760901
20,19,0.000285289
1,1,0.000001634
2,2,0.000002187
3,3,0.000003489
4,2,0.000002528
5,5,0.000004061
6,6,0.000072478
7,7,0.001017695
8,8,0.000797017
9,10,0.001137622
10,13,0.000244908
11,17,0.00010091
12,20,0.000456351
13,22,0.004785625
14,21,0.001017225
15,20,0.000411884
16,21,0.001843395
17,20,0.001229152
18,19,0.000740614
19,21,0.000507766
20,20,0.001269601
1,1,0.000002208
2,2,0.00000132
3,3,0.000004965
4,4,0.000003603
5,5,0.000033546
6,6,0.000601143
7,7,0.000119844
8,7,0.000156236
9,9,0.000387282
10,19,0.00004572
11,9,0.002289802
12,15,0.000351463
13,20,0.002099234
14,19,0.000686652
15,20,0.000511463
16,20,0.000172722
17,20,0.001529981
18,21,0.008503408
19,21,0.001782586
20,20,0.001047554
1,1,0.000003021
2,2,0.000002503
3,3,0.000003657
4,4,0.000004707
5,5,0.000045452
6,6,0.000077766
7,7,0.000648422
8,17,0.000780167
9,9,0.000267238
10,15,0.000128098
11,10,0.000833397
12,12,0.000467353
13,16,0.000108084
14,20,0.001168311
15,19,0.001390341
16,21,0.001990553
17,21,0.001063368
18,19,0.000506078
19,21,0.000745804
20,20,0.000092193
1,1,0.000002724
2,2,0.000001702
3,3,0.000003519
4,4,0.000002931
5,5,0.00000945
6,6,0.000100471
7,7,0.000400537
8,8,0.000430055
9,9,0.000012334
10,12,0.000536203
11,19,0.001271908
12,15,0.000160041
13,19,0.00021691
14,21,0.001002589
15,18,0.000170241
16,20,0.001986541
17,20,0.001423544
18,20,0.000373864
19,20,0.001142596
20,21,0.000921953
1,1,0.000002549
2,2,0.000002488
3,3,0.000001984
4,4,0.000003105
5,5,0.000008181
6,6,0.000143794
7,6,0.000004307
8,8,0.000203814
9,9,0.000566038
10,16,0.000304809
11,8,0.000417427
12,19,0.000132863
13,20,0.001274259
14,18,0.001708176
15,16,0.000267587
16,20,0.000444038
17,21,0.010949996
18,21,0.000557212
19,15,0.000382681
20,21,0.004018408
1,1,0.000001518
2,2,0.00000301
3,3,0.000003
4,4,0.000042898
5,5,0.000006557
6,6,0.0000593
7,6,0.000016333
8,12,0.001542817
9,4,0.00000404
10,19,0.001266725
11,20,0.000266961
12,19,0.000373752
13,18,0.002156295
14,19,0.000655195
15,20,0.000512044
16,19,0.000083443
17,20,0.000299543
18,20,0.005625129
19,19,0.000653992
20,21,0.007122843
1,1,0.000003029
2,2,0.000002365
3,3,0.000003453
4,4,0.00000507
5,5,0.000009526
6,6,0.000057627
7,7,0.003346569
8,8,0.00296329
9,16,0.000561544
10,14,0.003116337
11,17,0.000049387
12,21,0.001468084
13,19,0.000418769
14,19,0.001646644
15,21,0.000750936
16,20,0.00021525
17,20,0.000226867
18,20,0.000311765
19,20,0.001411745
20,21,0.002729881
1,1,0.00000319
2,2,0.000001764
3,3,0.00000448
4,4,0.000003559
5,5,0.000041718
6,6,0.000094748
7,7,0.00040756
8,15,0.001258786
9,7,0.000239199
10,18,0.002692096
11,19,0.00012587
12,15,0.000136438
13,10,0.007244372
14,20,0.000240971
15,20,0.000472357
16,20,0.000254908
17,20,0.000283019
18,21,0.00089012
19,21,0.002354905
20,21,0.000870312
1,1,0.000002349
2,2,0.000002119
3,3,0.000005304
4,4,0.000003154
5,5,0.000082245
6,6,0.000078015
7,7,0.000368293
8,13,0.000574228
9,13,0.001690248
10,19,0.000386873
11,18,0.000466345
12,20,0.000341665
13,17,0.001285551
14,18,0.000704446
15,18,0.000185982
16,20,0.000076348
17,20,0.000417163
18,20,0.000860915
19,20,0.005219917
20,20,0.000365724
1,1,0.000001297
2,2,0.000001997
3,2,0.000002048
4,4,0.000010261
5,5,0.000016453
6,6,0.000016477
7,5,0.000011845
8,6,0.000489909
9,13,0.000509098
10,15,0.001850834
11,17,0.002738836
12,18,0.001427279
13,13,0.000540239
14,20,0.00019786
15,21,0.001551712
16,20,0.001658903
17,20,0.002731945
18,21,0.001033887
19,20,0.001167799
20,20,0.000176062
1,1,0.000001232
2,2,0.000002258
3,3,0.000002546
4,4,0.000009367
5,5,0.000005973
6,6,0.000019587
7,7,0.00027435
8,14,0.001949751
9,9,0.000099907
10,10,0.000304214
11,18,0.00075162
12,9,0.000643331
13,20,0.000844681
14,19,0.000697106
15,20,0.000499698
16,20,0.000990574
17,21,0.002133206
18,20,0.00024283
19,20,0.000454918
20,20,0.000120301
1,1,0.000002278
2,2,0.000001933
3,3,0.000003154
4,4,0.000003822
5,5,0.000018874
6,6,0.000044085
7,7,0.000240983
8,8,0.000946988
9,9,0.00016661
10,20,0.000577445
11,10,0.000067262
12,10,0.001602599
13,16,0.00003345
14,19,0.000195
15,17,0.000995916
16,21,0.001305125
17,20,0.002451157
18,20,0.000169228
19,19,0.000628517
20,20,0.000798797
1,1,0.000002257
2,2,0.000002673
3,3,0.000002256
4,4,0.000003037
5,5,0.000082384
6,6,0.000452026
7,7,0.000737416
8,17,0.000155434
9,18,0.000506725
10,9,0.002517986
11,16,0.000113656
12,9,0.000146649
13,20,0.000336685
14,20,0.000741464
15,21,0.001070614
16,21,0.001642988
17,20,0.000231576
18,19,0.00180116
19,21,0.000804673
20,20,0.002033559
1,1,0.000001947
2,2,0.000001543
3,3,0.000004784
4,4,0.000018944
5,5,0.000056936
6,6,0.000035608
7,7,0.000305026
8,16,0.000408207
9,12,0.000168422
10,17,0.000906545
11,14,0.001379373
12,20,0.000582263
13,19,0.000257454
14,20,0.000629099
