Scramble Length,Solution Moves,Solution Time (s)
18,20,0.000071821
19,20,0.000056753
20,21,0.002653401
1,1,0.000005382
2,2,0.000003036
3,8,0.00004251
4,4,0.000003393
5,12,0.000082189
6,14,0.000030619
7,7,0.000228548
8,17,0.000030155
9,10,0.000022303
10,9,0.000012139
11,9,0.000022783
12,20,0.000311711
13,20,0.000719531
14,20,0.000484051
15,20,0.001721261
16,17,0.000027459
17,19,0.000045923
18,20,0.002944174
19,21,0.010132325
20,20,0.000139515
1,1,0.000003215
2,2,0.000003017
3,6,0.000007198
4,10,0.000043682
5,10,0.000078947
6,11,0.000038867
7,12,0.000023241
8,8,0.000006845
9,9,0.000008166
10,18,0.000039487
11,16,0.000071481
12,17,0.000016924
13,20,0.000141407
14,17,0.000016285
15,21,0.000825054
16,18,0.000112231
17,20,0.000070593
18,19,0.00002808
19,21,0.000400245
20,20,0.006217556
1,8,0.000081701
2,9,0.000068409
3,10,0.000060073
4,11,0.000055382
5,12,0.00002741
6,12,0.000029596
7,7,0.000010721
8,13,0.000027154
9,17,0.000014502
10,10,0.000070972
11,16,0.000058125
12,19,0.004210267
13,13,0.000816655
14,21,0.001155406
15,20,0.002500909
16,20,0.000431257
17,20,0.001604995
18,20,0.001057404
19,20,0.000798796
20,20,0.000098837
1,8,0.00007607
2,9,0.000063202
3,10,0.000006152
4,10,0.00005062
5,12,0.000023947
6,12,0.000027512
7,7,0.000004637
8,7,0.000004223
9,15,0.000048238
10,8,0.000008648
11,8,0.000006049
12,19,0.002128791
13,16,0.000028854
14,18,0.000018471
15,16,0.000011328
16,21,0.004331231
17,20,0.000095652
18,21,0.023455621
19,21,0.002975006
20,19,0.000661095
1,8,0.000133727
2,9,0.000097668
3,8,0.000041154
4,4,0.000006044
5,10,0.000040046
6,12,0.000010823
7,16,0.000015662
8,11,0.000014287
9,13,0.000016769
10,19,0.000042099
11,20,0.000765727
12,12,0.000531709
13,19,0.000830747
14,21,0.00154805
15,19,0.000086247
16,19,0.009116688
17,21,0.003077988
18,20,0.000677092
19,19,0.001041575
20,21,0.000999952
1,8,0.000104151
2,9,0.000063417
3,3,0.000003497
4,9,0.000014098
5,10,0.000040471
6,11,0.000020057
7,15,0.000015435
8,8,0.00000758
9,13,0.000018891
10,15,0.000067597
11,10,0.000007437
12,20,0.000034524
13,15,0.000014387
14,20,0.000035866
15,21,0.000619816
16,20,0.000666275
17,16,0.000263232
18,21,0.001354769
19,20,0.000231874
20,21,0.00220193
1,8,0.000073988
2,2,0.000002589
3,10,0.000057442
4,10,0.000044488
5,5,0.000004321
6,6,0.000004475
7,12,0.000007303
8,8,0.000071028
9,16,0.0000421
10,16,0.000035398
11,20,0.000111166
12,20,0.00004162
13,19,0.000110468
14,21,0.002170456
15,16,0.000043535
16,20,0.000407693
17,19,0.000072087
18,21,0.001119419
19,21,0.016846901
20,21,0.01622198
1,8,0.000067019
2,2,0.000002638
3,3,0.000002161
4,9,0.000004868
5,11,0.000046942
6,11,0.000015322
7,7,0.000005021
8,12,0.000030741
9,9,0.000039714
10,10,0.000050987
11,16,0.000015125
12,21,0.000496828
13,21,0.000491591
14,11,0.00000789
15,21,0.001493463
16,18,0.000667313
17,21,0.003152661
18,21,0.000192157
19,20,0.00109633
20,20,0.00084221
1,1,0.000002509
2,2,0.000002662
3,3,0.000002963
4,13,0.000045793
5,8,0.000004188
6,6,0.000004179
7,16,0.00002748
8,16,0.000017637
9,9,0.000008252
10,13,0.000015651
11,16,0.000007264
12,12,0.000072729
13,21,0.011197441
14,20,0.000125819
15,20,0.000170138
16,18,0.000044136
17,21,0.001960401
18,20,0.000559256
19,20,0.004255852
20,21,0.012307925
1,1,0.000007346
2,2,0.000005679
3,3,0.000004745
4,9,0.000032648
5,12,0.000109923
6,4,0.00000625
7,11,0.000010127
8,15,0.000014933
9,16,0.000022697
10,16,0.000072774
11,17,0.000050476
12,19,0.000282121
13,21,0.000556609
14,20,0.000089163
15,21,0.001239897
16,20,0.007773048
17,19,0.000052688
18,21,0.018355287
19,21,0.00029224
20,21,0.000426466
1,1,0.000003547
2,8,0.000014382
3,11,0.000006384
4,13,0.000008944
5,5,0.000004353
6,13,0.000075418
7,12,0.000023364
8,8,0.000005953
9,13,0.000061205
10,10,0.000006752
11,14,0.000010912
12,15,0.000074228
13,11,0.00006335
14,16,0.000015833
15,21,0.000347916
16,20,0.002114628
17,21,0.000669891
18,21,0.000303258
19,21,0.001210935
20,20,0.002332825
1,1,0.000003279
2,2,0.000001765
3,2,0.000001477
4,11,0.000069889
5,5,0.000003906
6,6,0.000004244
7,7,0.00000459
8,11,0.000024611
9,12,0.000039564
10,13,0.000006975
11,17,0.000033918
12,20,0.000192842
13,20,0.001702089
14,21,0.003192
15,17,0.000190916
16,20,0.00018774
17,20,0.000146083
18,20,0.00013929
19,20,0.000192792
20,20,0.000852335
1,1,0.000002649
2,2,0.000002832
3,3,0.00000287
4,4,0.000003225
5,4,0.000003723
6,6,0.000004509
7,15,0.000009095
8,8,0.000004709
9,9,0.000006037
10,20,0.000050729
11,19,0.000038061
12,20,0.000120363
13,20,0.000314523
14,20,0.000152901
15,20,0.000296296
16,21,0.00365445
17,20,0.000141502
18,21,0.001484303
19,20,0.000200192
20,20,0.00046793
1,8,0.000081788
2,2,0.000002225
3,9,0.000045328
4,9,0.000055099
5,5,0.000004722
6,13,0.000010654
7,12,0.000024114
8,14,0.00004319
9,18,0.000019454
10,15,0.00001304
11,16,0.000011514
12,12,0.000724819
13,15,0.000077519
