BFS Moves,BFS Time (s)
6,0.212469083
7,5.754243135
8,86.509225504
1,0.000001856
2,0.000016581
3,0.000043831
4,0.002262179
5,0.026151078
6,0.555163494
7,6.104234854
8,92.200012812
1,0.000003035
2,0.00001471
3,0.000269516
4,0.002605037
5,0.025665441
6,0.081316284
7,2.277440064
8,17.478065473
1,0.000002701
2,0.000012329
3,0.000027265
4,0.002577246
5,0.009534929
6,0.31951806
7,4.705159118
8,9.872272028
1,0.000001634
2,0.000015004
3,0.000096448
4,0.000984896
5,0.023309145
6,0.393346248
7,4.286335624
8,49.654956045
1,0.000001621
2,0.000011769
3,0.000048422
4,0.000353497
5,0.029273834
6,0.504797349
7,2.089422112
8,48.996977916
1,0.000002302
2,0.000014856
3,0.000177791
4,0.002962671
5,0.016355353
6,0.163874435
7,4.697697222
8,71.651767159
1,0.000001541
2,0.000009862
3,0.000047931
4,0.00090242
5,0.01117886
6,0.172752488
7,4.857324106
8,20.426230708
1,0.000002084
2,0.000010586
3,0.000159736
4,0.002378032
5,0.032927708
6,0.436891048
7,5.775489714
8,47.8104201
1,0.000002728
2,0.00001315
3,0.000132977
4,0.001522041
5,0.025090116
6,0.114464419
7,7.0784417
8,63.581707323
1,0.000002532
2,0.000014932
3,0.000093987
4,0.000336596
5,0.017701262
6,0.405873033
7,3.035382448
8,28.738191266
1,0.000001452
2,0.000003946
3,0.000050893
4,0.001649121
5,0.023450212
6,0.231266671
7,1.3624177290000001
8,77.945755433
1,0.000003727
2,0.000009889
3,0.000159567
4,0.002341222
5,0.013898203
6,0.544728722
7,6.015745864
8,89.676965989
1,0.00000272
2,0.00000964
3,0.000155708
4,0.002350568
5,0.004713033
6,0.264454996
7,2.398701243
8,81.439585548
1,0.000001469
2,0.000018791
3,0.000067858
4,0.001427391
5,0.033041294
6,0.295000581
7,6.03422898
8,10.084034462
1,0.000002081
2,0.000006261
3,0.000085373
4,0.000717025
5,0.018733347
6,0.397065469
7,2.360443052
8,27.797554545
1,0.000002081
2,0.000011294
3,0.000208536
