Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000563,1,0.0000018
2,2,0.0011003,2,0.0000051
3,3,0.0068644,3,0.0000149
4,4,0.0837354,4,0.0000148
5,5,3.0081693,5,0.0000723
6,6,47.1912919,6,0.0100763
