Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000498,1,0.0000017
2,2,0.0010252,2,0.0000025
3,3,0.013033,3,0.0000349
4,4,0.0214291,4,0.00006
5,5,1.376194,5,0.0001091
6,6,52.9558287,6,0.0074995
