Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000808,1,0.0000015
2,2,0.0011011,2,0.0000047
3,3,0.0047227,3,0.0000202
4,4,0.1234647,4,0.000091
5,5,1.3768647,5,0.0000405
6,6,17.5470904,6,0.0003856
