Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.000047,1,0.0000012
2,2,0.000427,2,0.0000023
3,3,0.0040382,3,0.0000319
4,4,0.2543454,4,0.0000176
5,5,0.6099639,5,0.0001735
6,6,41.184097,6,0.0023566
