Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0001024,1,0.000002
2,2,0.0006148,2,0.0000036
3,3,0.0079232,3,0.0000218
4,4,0.0756888,4,0.000038
5,5,3.0637181,5,0.0001659
6,5,0.4211837,5,0.0000935
