Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0002592,1,0.000002
2,2,0.0008704,2,0.000004
3,3,0.0162875,3,0.0000518
4,4,0.2375336,4,0.0001626
5,5,2.812439,5,0.0000341
6,6,43.9979628,6,0.000039
