Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000902,1,0.0140216
2,2,0.0009069,2,0.0000164
3,3,0.008257,3,0.0000096
4,4,0.0802947,4,0.0000329
5,5,2.2005777,5,0.0000317
6,6,10.2229635,6,0.0000265
