Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000836,1,0.0000022
2,2,0.0002439,2,0.0000023
3,3,0.0065456,3,0.0000183
4,4,0.1651575,4,0.0016883
5,5,1.8737197,5,0.0000325
6,6,26.7437398,6,0.0007203
