Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0001085,1,0.0000208
2,2,0.0003032,2,0.000002
3,3,0.0068623,3,0.0000435
4,2,0.0009967,2,0.0000035
5,5,3.8645936,5,0.0001576
6,6,45.1237596,6,0.0006051
