Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000915,1,0.0000019
2,2,0.0013219,2,0.0000041
3,3,0.0153083,3,0.0000066
4,4,0.0572432,4,0.0000222
5,5,2.7651466,5,0.0001331
6,6,36.9696676,6,0.0001331
