Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0001301,1,0.0000024
2,2,0.0005569,2,0.0000029
3,3,0.0076345,3,0.0000517
4,4,0.0719865,4,0.0000242
5,5,1.9728560000000002,5,0.0001509
6,6,21.2426704,6,0.0001714
