Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000982,1,0.0000025
2,2,0.0006583,2,0.0000148
3,3,0.0043282,3,0.0000381
4,4,0.1109995,4,0.0000109
5,5,2.343738,5,0.0000261
6,6,41.768208,6,0.000353
