Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0001279,1,0.0000027
2,2,0.0011675,2,0.0000057
3,3,0.0172203,3,0.0000255
4,4,0.1311708,4,0.0000124
5,5,1.8078243999999999,5,0.0000231
6,6,5.3815226,6,0.000049
