Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0001118,1,0.0000021
2,2,0.000294,2,0.0000022
3,3,0.0072526,3,0.000032
4,4,0.0758664,4,0.0000184
5,5,2.3890716,5,0.0021119
6,6,24.9321203,6,0.0002168
