Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000608,1,0.0000022
2,2,0.0003529,2,0.0000057
3,3,0.0065435,3,0.0000168
4,4,0.0284568,4,0.0000106
5,5,0.5683277,5,0.000413
6,6,47.0809568,6,0.000852
