Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000575,1,0.0000021
2,2,0.0008965,2,0.0000059
3,3,0.0036735,3,0.0000048
4,4,0.1464971,4,0.0000104
5,5,1.1561866,5,0.0000218
6,6,4.3329452,6,0.00017
