Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0001507,1,0.000003
2,2,0.0011765,2,0.0000063
3,3,0.0137141,3,0.0000133
4,4,0.2417022,4,0.001034
5,5,0.943829,5,0.0000184
6,4,0.1310126,4,0.0000312
