Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000425,1,0.0000015
2,2,0.0009807,2,0.0000043
3,3,0.0090556,3,0.0000092
4,4,0.1245045,4,0.0000239
5,5,3.9584358,5,0.0000571
6,6,52.3101154,6,0.0011918
