Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000665,1,0.0000012
2,2,0.0009413,2,0.0000046
3,3,0.0100122,3,0.0000134
4,3,0.0165668,3,0.0000348
5,5,1.4336194,5,0.0000967
6,3,0.0092738,3,0.0000067
