Scramble Length,BFS Moves,BFS Time (s),IDA* Moves,IDA* Time (s)
1,1,0.0000549,1,0.0000023
2,2,0.0005897,2,0.0000017
3,3,0.0178387,3,0.0000088
4,4,0.0584313,4,0.0000368
5,5,3.94401,5,0.0000885
6,6,28.4171913,6,0.0004179
