Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002236
2,2,0.000002292
3,3,0.000002806
4,4,0.000002572
5,5,0.000004079
6,6,0.000075019
7,7,0.000874432
8,8,0.012896718
9,9,0.153716154
10,10,0.540650459
