Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002295
2,2,0.000002795
3,3,0.00000285
4,4,0.000004275
5,5,0.0002698
6,6,0.000019108
7,7,0.000458992
8,8,0.004259033
9,9,0.174847086
10,10,0.360767163
