Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000003329
2,2,0.000002778
3,3,0.000003125
4,4,0.000032737
5,5,0.000049862
6,6,0.000038845
7,7,0.002931772
8,8,0.045246775
9,9,0.104620053
10,10,0.724438652
