Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002656
2,2,0.00000268
3,3,0.000005148
4,4,0.00002328
5,5,0.000017571
6,6,0.000837615
7,7,0.003229914
8,8,0.001184965
