Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.0000093
2,2,0.0000392
3,3,0.0000831
4,4,0.0004054
5,4,0.0024472
6,6,0.0095056
7,7,0.0080996
8,8,1.8512308
