Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001426
2,2,0.000001114
3,3,0.000004785
4,4,0.000021185
5,5,0.000009221
6,6,0.001426679
7,7,0.000671258
8,8,0.017261321
