Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001173
2,2,0.000001148
3,3,0.000020745
4,4,0.001695943
5,5,0.0009045
6,6,0.003930155
7,7,0.009113676
8,8,0.060776797
9,9,0.337301674
10,10,52.533653009
