Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002953
2,2,0.000003509
3,3,0.00000451
4,4,0.000006411
5,5,0.000015081
6,6,0.000224441
7,7,0.000089676
8,8,0.008580701
