Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001953
2,2,0.000004577
3,3,0.000027789
4,4,0.000023407
5,5,0.000079049
6,6,0.001483632
7,7,0.12211365
8,8,0.09742004
9,9,0.20940469
10,10,3.192487661
