Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001093
2,2,0.000002865
3,3,0.000003857
4,4,0.000007027
5,5,0.000017376
6,6,0.001053342
7,7,0.003241643
8,8,0.025605522
9,9,0.028279875
10,10,0.467670764
