Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001862
2,2,0.000002688
3,3,0.000003466
4,4,0.00006676
5,5,0.000007401
6,6,0.00003274
7,7,0.000456054
8,8,0.000352019
9,9,0.108655841
10,10,0.473274358
