Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002529
2,2,0.000002609
3,3,0.000002125
4,4,0.000018041
5,5,0.000008094
6,6,0.000034067
7,7,0.001060963
8,8,0.030662618
9,9,0.113144582
10,10,0.078592457
