Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000003971
2,2,0.000001682
3,3,0.000002214
4,4,0.000029558
5,5,0.000019142
6,6,0.000022654
7,7,0.005701001
8,8,0.001572097
