Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000004952
2,2,0.000011883
3,3,0.000029969
4,4,0.000126832
5,5,0.000045124
6,6,0.003305414
7,7,0.002415648
8,8,0.037117802
