Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000000636
2,2,0.000005594
3,3,0.000007733
4,4,0.000013691
5,5,0.000088613
6,6,0.000070297
7,7,0.005526436
8,8,0.039429284
