Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001882
2,2,0.000003321
3,3,0.000003958
4,4,0.000004112
5,5,0.000086544
6,6,0.000463103
7,7,0.000072569
8,8,0.071683026
9,9,1.081373888
10,10,1.110231928
