Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000025
2,2,0.0000194
3,3,0.0002344
4,4,0.0017882
5,5,0.0012072
6,5,0.0004436
7,7,0.0087193
8,8,4.7222441
