Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.00000131
2,2,0.000003036
3,3,0.000003764
4,4,0.000012217
5,5,0.000055849
6,6,0.000162901
7,7,0.002484114
8,8,0.002533891
9,9,0.1501956
10,10,5.711738834
